DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
17K543,"Science, Technology and Research Early College High School at Erasmus",423,Excellent,0.81,0.8,0.719,0.076,0.645,0.962,0.88
17K546,High School for Public Service: Heroes of Tomorrow,371,Fair,0.86,0.84,0.812,0.194,0.722,0.854,0.88
17K547,Brooklyn Academy of Science and the Environment,247,Good,0.94,0.9,0.812,0.178,0.725,0.91,0.84
17K548,Brooklyn School for Music & Theatre,201,Fair,0.76,0.92,0.827,0.194,0.781,0.865,0.87
17K590,Medgar Evers College Preparatory School,893,Excellent,,0.99,0.603,0.064,0.498,0.941,
17K600,Clara Barton High School,1324,Fair,0.68,0.84,0.841,0.169,0.766,0.904,0.84
17K745,Brooklyn Institute for Liberal Arts,482,Fair,0.79,0.87,0.822,0.176,0.718,0.86,0.85
17K751,Academy for Health Careers,160,Needs Improvement,0.8,0.75,0.855,0.181,0.781,0.753,0.72
18K563,It Takes a Village Academy,268,Fair,0.82,0.91,0.861,0.224,0.713,0.834,0.84
18K566,Brooklyn Community High School for Excellence and Equity,253,Fair,0.82,0.95,0.839,0.237,0.664,0.885,0.89
18K567,Brooklyn Theatre Arts High School,238,Fair,0.84,0.81,0.874,0.303,0.71,0.82,0.84
18K569,Kurt Hahn Expeditionary Learning School,181,Good,,,0.869,0.238,0.773,0.801,
18K576,Victory Collegiate High School,290,Fair,0.75,0.98,0.88,0.166,0.786,0.85,0.88
18K617,High School for Innovation in Advertising and Media,386,Good,,,0.821,0.135,0.767,0.85,
18K629,Cultural Academy for the Arts and Sciences,296,Good,0.96,0.84,0.813,0.145,0.73,0.858,0.91
18K633,High School for Medical Professions,382,Fair,0.75,0.82,0.813,0.168,0.704,0.876,0.81
18K637,Academy for Conservation and the Environment,433,Good,0.92,0.96,0.814,0.157,0.716,0.925,0.83
18K642,Urban Action Academy,185,Needs Improvement,0.93,0.75,0.893,0.368,0.697,0.806,0.82
19K404,Academy for Young Writers,283,Good,0.67,0.86,0.863,0.152,0.823,0.816,0.83
19K409,East New York Family Academy,364,Good,0.85,0.85,0.859,0.17,0.783,0.849,0.86
19K422,Spring Creek Community School,270,Fair,0.57,0.86,0.887,0.107,0.844,0.851,0.77
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,418,Fair,0.91,0.81,0.92,0.249,0.852,0.8,0.88
19K507,Performing Arts and Technology High School,411,Good,0.87,0.79,0.893,0.217,0.771,0.857,0.93
19K510,World Academy for Total Community Health High School,207,Needs Improvement,0.79,0.8,0.929,0.304,0.744,0.755,0.86
19K583,Multicultural High School,282,Good,0.83,0.86,,0.301,0.574,0.89,0.9
19K615,Transit Tech Career and Technical Education High School,787,Good,0.85,0.83,0.833,0.158,0.742,0.782,0.84
19K618,Academy of Innovative Technology,390,Good,0.68,0.88,0.821,0.108,0.726,0.894,0.91
19K639,Brooklyn Lab School,455,Good,0.8,0.79,0.889,0.156,0.796,0.848,0.91
19K659,Cypress Hills Collegiate Preparatory School,410,Good,0.81,0.85,0.871,0.207,0.737,0.879,0.88
19K660,W. H. Maxwell Career and Technical Education High School,555,Fair,,0.77,0.935,0.268,0.877,0.759,
19K683,School for Classics High School,356,Fair,0.61,0.84,,0.18,0.888,0.832,0.88
19K764,The Urban Assembly School for Collaborative Healthcare,375,Fair,0.88,0.82,0.856,0.112,0.749,0.843,0.88
19K953,The East New York Arts and Civics High School,136,Fair,0.86,0.77,0.935,0.184,0.882,0.789,0.85
19K965,Bard High School Early College Brooklyn,146,,0.84,0.86,0.581,0.055,0.445,0.945,0.85
20K445,New Utrecht High School,3212,Fair,0.85,0.74,0.813,0.075,0.699,0.883,0.85
20K485,High School of Telecommunication Arts and Technology,1209,Good,0.81,0.81,0.804,0.058,0.744,0.915,0.84
20K490,Fort Hamilton High School,4066,Good,0.88,0.74,0.77,0.09,0.667,0.889,0.87
20K505,Franklin Delano Roosevelt High School,3412,Fair,0.76,0.73,0.884,0.091,0.767,0.869,0.85
20K609,Urban Assembly School for Leadership and Empowerment,327,Good,0.82,0.75,0.896,0.119,0.847,0.875,0.8
21K337,International High School at Lafayette,349,Good,0.84,0.78,,0.421,0.662,0.808,0.88
21K344,Rachel Carson High School for Coastal Studies,622,Good,0.88,0.76,0.857,0.08,0.789,0.876,0.85
21K348,High School of Sports Management,388,Fair,0.59,0.79,0.936,0.103,0.75,0.815,0.79
21K410,Abraham Lincoln High School,2228,Good,0.92,0.79,0.861,0.121,0.776,0.843,0.88
21K468,Kingsborough Early College School,426,Excellent,0.96,0.88,0.77,0.061,0.707,0.856,0.85
21K525,Edward R. Murrow High School,3490,Fair,0.86,0.82,0.666,0.08,0.582,0.877,0.86
21K540,John Dewey High School,2210,Fair,0.84,0.73,0.867,0.108,0.794,0.893,0.84
21K559,Life Academy High School for Film and Music,195,Good,1.0,0.94,0.909,0.185,0.718,0.797,0.91
21K572,Leaders High School,384,Excellent,0.89,0.86,0.851,0.07,0.792,0.856,0.89
21K620,William E. Grady Career and Technical Education High School,644,Fair,0.89,0.81,0.847,0.096,0.783,0.821,0.85
21K690,Brooklyn Studio Secondary School,515,Fair,0.74,0.84,0.84,0.122,0.757,0.904,0.8
22K405,Midwood High School,3642,Excellent,0.81,0.75,0.702,0.049,0.636,0.917,0.86
22K425,James Madison High School,4005,Good,0.88,0.78,0.693,0.089,0.6,0.886,0.88
22K535,Leon M. Goldstein High School for the Sciences,953,Excellent,,,0.558,0.034,0.467,0.892,
22K555,Brooklyn College Academy,635,Excellent,0.96,0.88,0.653,0.057,0.554,0.96,0.91
22K611,Origins High School,480,Fair,0.8,0.84,0.899,0.129,0.819,0.849,0.84
23K493,Brooklyn Collegiate: A College Board School,515,Fair,0.76,0.86,0.884,0.175,0.823,0.831,0.86
23K514,Frederick Douglass Academy VII High School,298,Good,0.88,0.85,0.925,0.255,0.832,0.839,0.86
23K644,Eagle Academy for Young Men II,431,Good,0.97,0.97,0.821,0.097,0.749,0.916,0.94
23K697,Teachers Preparatory High School,182,Fair,0.72,0.92,,0.33,0.896,0.802,0.9
24Q236,International High School for Health Sciences,295,Good,0.96,0.83,,0.502,0.525,0.897,0.94
24Q264,Academy of Finance and Enterprise,863,Good,0.82,0.84,0.778,0.075,0.713,0.895,0.87
24Q267,High School of Applied Communication,376,Fair,0.73,0.79,0.842,0.146,0.766,0.858,0.74
24Q293,Civic Leadership Academy,565,Good,0.89,0.9,0.885,0.168,0.804,0.895,0.91
24Q296,Pan American International High School,510,Excellent,0.98,0.96,,0.769,0.512,0.95,0.93
24Q299,Bard High School Early College Queens,652,Excellent,0.86,0.85,0.571,0.06,0.492,0.939,0.88
24Q455,Newtown High School,2088,Fair,0.92,0.81,0.892,0.192,0.662,0.873,0.9
24Q485,Grover Cleveland High School,1716,Fair,0.84,0.8,0.844,0.187,0.682,0.833,0.85
24Q520,Middle College High School at LaGuardia Community College,481,Excellent,0.89,0.86,0.775,0.071,0.711,0.927,0.93
24Q530,International High School at LaGuardia Community College,509,Excellent,0.71,0.97,0.854,0.426,0.523,0.904,0.99
24Q550,High School for Arts and Business,716,Excellent,0.92,0.79,0.835,0.13,0.767,0.892,0.89
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",446,Good,0.63,0.82,0.759,0.085,0.706,0.872,0.82
24Q585,Maspeth High School,1000,Excellent,0.89,0.78,0.734,0.073,0.66,0.9,0.84
24Q600,Queens Technical High School,1290,Fair,0.86,0.8,0.842,0.099,0.788,0.911,0.92
24Q610,Aviation Career & Technical Education High School,2080,Excellent,0.84,0.78,0.711,0.063,0.646,0.953,0.87
25Q240,Veritas Academy,653,Fair,0.87,0.85,0.82,0.135,0.672,0.862,0.84
25Q241,Queens High School for Language Studies,447,Excellent,0.86,0.81,0.819,0.092,0.709,0.911,0.94
25Q252,"Queens School of Inquiry, The",351,Excellent,0.79,0.87,0.609,0.066,0.544,0.898,0.91
25Q263,Flushing International High School,410,Excellent,0.95,0.83,,0.449,0.605,0.873,0.92
25Q281,East-West School of International Studies,379,Excellent,0.9,0.81,0.791,0.061,0.699,0.928,0.86
25Q285,World Journalism Preparatory: A College Board School,357,Good,0.87,0.82,0.498,0.045,0.417,0.881,0.8
25Q425,John Bowne High School,2782,Fair,0.84,,0.827,0.122,0.691,0.869,0.85
25Q460,Flushing High School,1634,Fair,0.63,0.76,0.908,0.193,0.722,0.855,0.83
25Q525,Townsend Harris High School,1342,Excellent,0.85,0.86,0.485,0.034,0.412,0.943,0.9
25Q670,Robert F. Kennedy Community High School,589,Good,0.77,0.84,0.732,0.095,0.645,0.872,0.83
26Q315,Business Technology Early College High School,599,Excellent,0.88,0.85,0.646,0.09,0.578,0.897,0.93
26Q415,Benjamin N. Cardozo High School,2882,Good,0.84,0.75,0.628,0.057,0.543,0.886,0.85
26Q430,Francis Lewis High School,4577,Good,0.84,0.79,0.668,0.069,0.557,0.917,0.83
26Q435,Martin Van Buren High School,1140,Fair,0.71,0.84,0.738,0.094,0.619,0.902,0.82
26Q495,Bayside High School,2980,Excellent,0.79,0.77,0.646,0.075,0.556,0.922,0.8
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",841,Good,0.67,0.83,0.623,0.065,0.561,0.867,0.8
27Q260,Frederick Douglass Academy VI High School,319,Fair,0.83,0.8,0.918,0.213,0.749,0.811,0.87
27Q262,Channel View School for Research,845,Good,0.73,0.85,0.791,0.096,0.712,0.854,0.84
27Q302,"Queens High School for Information, Research, and Technology",507,Excellent,0.87,0.79,0.884,0.085,0.813,0.845,0.91
27Q308,Robert H. Goddard High School of Communication Arts and Technology,610,Excellent,0.84,0.87,0.713,0.051,0.661,0.9,0.93
27Q309,Academy of Medical Technology: A College Board School,433,Fair,0.86,0.79,0.91,0.134,0.813,0.79,0.9
27Q314,Epic High School - South,436,Fair,0.63,,0.759,0.083,0.683,0.884,0.88
27Q323,Scholars' Academy,590,Excellent,0.85,0.9,0.475,0.02,0.397,0.928,0.87
27Q324,Rockaway Park High School for Environmental Sustainability,233,Fair,0.75,0.71,,0.202,0.794,0.77,0.83
27Q334,Epic High School - North,385,Good,,,0.818,0.073,0.719,0.866,
27Q351,Rockaway Collegiate High School,282,Fair,0.84,0.8,0.916,0.209,0.809,0.77,0.88
27Q400,August Martin High School,646,Good,0.74,0.83,0.784,0.193,0.676,0.838,0.8
27Q475,Richmond Hill High School,1843,Good,0.73,0.8,0.837,0.098,0.721,0.904,0.86
27Q480,John Adams High School,2428,Good,,0.82,0.8,0.124,0.682,0.861,
27Q650,"High School for Construction Trades, Engineering and Architecture",1076,Excellent,0.88,0.8,0.682,0.035,0.628,0.91,0.88
28Q157,J.H.S. 157 Stephen A. Halsey,7,,0.93,0.8,0.894,0.0,0.714,,0.87
28Q167,Metropolitan Expeditionary Learning School,474,Good,0.93,0.85,0.668,0.049,0.593,0.885,0.77
28Q284,York Early College Academy,327,Excellent,0.91,0.84,0.554,0.04,0.492,0.907,0.9
28Q310,Queens Collegiate: A College Board School,455,Fair,0.65,0.87,0.779,0.121,0.648,0.885,0.83
28Q325,Hillside Arts & Letters Academy,405,Good,0.9,0.81,0.804,0.16,0.672,0.824,0.91
28Q328,High School for Community Leadership,492,Excellent,0.98,0.82,0.74,0.114,0.634,0.864,0.88
28Q350,Jamaica Gateway to the Sciences,525,Good,0.61,0.79,0.776,0.124,0.67,0.894,0.85
28Q440,Forest Hills High School,3415,Good,,,0.693,0.085,0.602,0.927,
28Q505,Hillcrest High School,2352,Good,0.89,0.77,0.832,0.222,0.685,0.873,0.88
28Q620,Thomas A. Edison Career and Technical Education High School,2138,Excellent,0.69,0.81,0.66,0.062,0.593,0.921,0.88
28Q680,Queens Gateway to Health Sciences Secondary School,409,Excellent,0.66,0.84,0.613,0.059,0.54,0.935,0.82
28Q686,Queens Metropolitan High School,1068,Good,0.77,0.83,0.581,0.071,0.473,0.908,0.92
28Q687,Queens High School for the Sciences at York College,494,Excellent,0.5,0.75,0.5,0.02,0.433,0.966,0.86
28Q690,High School for Law Enforcement and Public Safety,552,Fair,0.87,0.83,0.84,0.185,0.745,0.907,0.84
28Q896,"Young Women's Leadership School, Queens",283,Excellent,0.75,0.84,0.747,0.106,0.678,0.899,0.81
29Q243,Institute for Health Professions at Cambria Heights,462,Excellent,0.87,0.77,0.715,0.091,0.639,0.868,0.9
29Q248,Queens Preparatory Academy,326,Fair,0.62,,0.795,0.166,0.663,0.872,0.82
29Q259,Pathways College Preparatory School: A College Board School,461,Excellent,0.72,0.85,0.652,0.093,0.568,0.953,0.86
29Q265,Excelsior Preparatory High School,478,Good,0.94,0.83,0.773,0.146,0.661,0.903,0.84
29Q272,George Washington Carver High School for the Sciences,425,Fair,0.8,0.85,0.771,0.162,0.673,0.93,0.85
29Q283,Preparatory Academy for Writers: A College Board School,349,Good,0.8,0.87,0.72,0.169,0.61,0.912,0.82
29Q313,Benjamin Franklin High School for Finance & Information Technology,374,Good,0.81,0.87,0.747,0.136,0.639,0.856,0.86
29Q326,Cambria Heights Academy,356,Good,0.91,0.87,0.745,0.11,0.674,0.866,0.87
29Q327,Eagle Academy for Young Men III,326,Good,0.51,,0.697,0.12,0.635,0.983,0.86
29Q492,"Mathematics, Science Research and Technology Magnet High School",512,Good,0.91,0.83,0.732,0.123,0.627,0.857,0.92
29Q498,"Health, Arts, Robotics, and Technology High School",621,Good,,0.83,0.733,0.119,0.657,0.835,
30Q258,Energy Tech High School,490,Good,0.77,0.88,0.801,0.092,0.729,0.914,0.85
30Q286,"Young Women's Leadership School, Astoria",331,Excellent,,0.81,0.756,0.051,0.698,0.898,
30Q301,Academy for Careers in Television and Film,548,Excellent,0.86,0.9,0.731,0.089,0.662,0.91,0.84
30Q367,Motion Picture Technical High School,182,,0.85,0.9,0.783,0.104,0.709,0.902,0.84
30Q417,Gotham Tech High School,271,,0.51,0.76,0.766,0.151,0.69,0.93,0.74
30Q445,William Cullen Bryant High School,1979,Fair,0.69,,0.89,0.164,0.739,0.835,0.79
30Q450,Long Island City High School,1632,Fair,0.69,0.73,0.9,0.244,0.8,0.845,0.83
30Q501,Frank Sinatra School of the Arts High School,849,Excellent,0.83,0.87,0.357,0.025,0.269,0.91,0.86
30Q502,Information Technology High School,781,Good,0.82,0.82,0.866,0.123,0.81,0.905,0.87
30Q555,ATLAS,1161,Fair,0.8,0.76,,0.538,0.632,0.735,0.86
30Q575,Academy of American Studies,1213,Excellent,,,0.587,0.046,0.525,0.904,
30Q580,Baccalaureate School for Global Education,400,Excellent,0.73,0.85,0.5,0.028,0.44,0.948,0.8
31R028,The Eagle Academy for Young Men of Staten Island,97,Good,0.8,0.94,0.854,0.103,0.804,0.815,0.91
31R047,CSI High School for International Studies,521,Excellent,0.91,0.78,0.555,0.031,0.489,0.942,0.84
31R064,Gaynor McCown Expeditionary Learning School,537,Excellent,0.98,0.84,0.509,0.02,0.447,0.897,0.89
31R080,The Michael J. Petrides School,490,Good,0.92,0.89,0.625,0.041,0.567,0.892,0.86
31R440,New Dorp High School,3060,Fair,0.82,0.76,0.647,0.072,0.575,0.903,0.85
31R445,Port Richmond High School,1700,Fair,0.93,0.81,0.828,0.124,0.745,0.832,0.88
31R450,Curtis High School,2425,Good,0.88,0.78,0.81,0.128,0.723,0.824,0.87
31R455,Tottenville High School,3754,Good,0.92,0.77,0.452,0.034,0.388,0.918,0.86
31R460,Susan E. Wagner High School,2740,Good,0.77,0.77,0.64,0.061,0.561,0.935,0.85
31R600,Ralph R. McKee Career and Technical Education High School,625,Good,,,0.815,0.086,0.762,0.845,
31R605,Staten Island Technical High School,1425,Excellent,0.85,0.72,0.462,0.023,0.385,0.963,0.92
32K168,The Brooklyn School for Math and Research,337,Good,0.86,0.86,0.891,0.199,0.724,0.895,0.84
32K403,Academy for Excellence in Leadership,277,Fair,0.62,0.83,0.944,0.336,0.718,0.828,0.85
32K545,EBC High School for Public Service - Bushwick,413,Fair,0.76,0.82,0.95,0.269,0.789,0.801,0.82
32K549,The Brooklyn School for Social Justice,268,Fair,0.64,0.8,0.937,0.317,0.757,0.834,0.87
32K552,The Academy of Urban Planning and Engineering,419,Good,0.92,0.86,0.874,0.212,0.74,0.9,0.86
32K554,All City Leadership Secondary School,238,Excellent,0.94,0.84,0.728,0.063,0.66,0.913,0.93
32K556,Bushwick Leaders High School for Academic Excellence,359,Fair,0.69,0.9,0.933,0.315,0.758,0.821,0.81
84K037,Beginning with Children Charter School II,277,,,0.94,0.877,0.112,0.791,0.948,
84K356,Achievement First Crown Heights Charter School,688,Fair,,,0.811,0.089,0.744,0.914,
84K358,Achievement First East New York Charter School,461,,,,0.804,0.08,0.731,0.919,
84K367,Success Academy Charter School - Bed Stuy 1,219,,,,0.621,0.068,0.525,,
84K406,"EMBER Charter School for Mindful Education, Innovation and Transformation",85,Fair,0.91,0.92,0.908,0.2,0.859,0.725,0.9
84K473,Williamsburg Charter High School,662,Fair,0.84,0.78,0.876,0.142,0.795,0.769,0.83
84K517,Uncommon Bed-Stuy West Charter School NYC,504,Good,,,0.799,0.099,0.7,0.864,
84K593,Uncommon Excellence Boys Charter School NYC,6,,,,0.896,0.167,0.833,,
84K608,Uncommon Kings Charter School NYC,522,Fair,,,0.854,0.13,0.776,0.89,
84K626,Achievement First Brownsville Charter School,29,,,,0.546,0.103,0.448,,
84K652,Brooklyn Ascend Charter School,261,Needs Improvement,,,0.838,0.123,0.747,0.933,
84K680,Achievement First Aspire Charter School,371,Fair,,,0.86,0.135,0.765,0.888,
84K693,Northside Charter High School,443,Needs Improvement,0.46,0.64,0.862,0.135,0.783,0.794,0.79
84K712,Uncommon Excellence Girls Charter School NYC,492,Fair,,,0.797,0.1,0.717,0.907,
84K730,Summit Academy Charter School,187,Good,0.76,0.93,0.932,0.326,0.85,0.992,0.86
84K733,"Math, Engineering, and Science Academy Charter High School",513,Good,,,0.895,0.195,0.774,0.896,
84K738,United Charter High School for Advanced Math and Science lll,283,Excellent,0.79,0.89,0.823,0.138,0.735,0.906,0.89
84K744,Coney Island Preparatory Public Charter School,377,Good,0.83,0.88,0.844,0.045,0.782,0.866,0.8
84K757,Unity Preparatory Charter School of Brooklyn,265,Good,,,0.85,0.143,0.77,,
84K775,Uncommon Brownsville North Charter School NYC,561,Fair,,,0.7,0.093,0.613,0.899,
84K782,Bedford Stuyvesant New Beginnings Charter School,77,,,,,0.286,0.831,0.867,
84K803,Brooklyn Laboratory Charter School,601,Needs Improvement,0.83,,0.829,0.178,0.772,0.727,0.8
84K892,Brooklyn Emerging Leaders Academy Charter School,218,Good,,,0.76,0.142,0.674,0.87,
84K928,Brooklyn Prospect Charter School - CSD 15.2,729,Good,,,0.432,0.049,0.346,0.975,
84M202,Great Oaks Kathleen Sherry Charter School,196,Fair,0.84,0.92,0.843,0.179,0.755,0.832,0.89
84M204,Capital Preparatory Harlem Charter School,142,Fair,0.73,0.8,0.921,0.106,0.866,0.831,0.61
84M279,Opportunity Charter School,230,Fair,,,0.948,0.126,0.913,0.995,
84M284,Harlem Children's Zone Promise Academy Charter School,256,Excellent,0.67,0.87,0.867,0.164,0.77,0.926,0.86
84M295,School in the Square Public Charter School,112,,0.71,0.91,0.858,0.152,0.777,0.916,0.79
84M341,Harlem Children's Zone Promise Academy II Charter School,213,Good,0.69,0.88,0.867,0.113,0.793,0.907,0.87
84M350,Democracy Preparatory Charter School,426,Fair,,0.89,0.87,0.134,0.777,0.799,
84M351,Success Academy Charter School - Harlem 1,884,Good,,,0.643,0.066,0.555,,
84M353,New Heights Academy Charter School,420,Good,0.85,0.9,0.933,0.138,0.86,0.897,0.84
84M389,KIPP Beyond Charter School,254,,0.96,0.89,0.854,0.094,0.791,0.933,0.85
84M433,Innovation Charter High School,401,Needs Improvement,0.63,0.82,0.924,0.2,0.863,0.765,0.84
84M478,Inwood Academy for Leadership Charter School,527,Fair,0.77,0.91,0.896,0.161,0.827,0.913,0.85
84M481,Democracy Preparatory Harlem Charter School,369,Fair,0.69,0.86,0.871,0.122,0.808,0.819,0.8
84M518,East Harlem Scholars Academy Charter School,406,Needs Improvement,,,0.937,0.17,0.874,0.778,
84M522,Broome Street Academy Charter High School,262,Needs Improvement,,0.87,0.923,0.229,0.859,0.721,
84M708,Harlem Prep Charter School,408,Fair,,,0.925,0.152,0.858,0.713,
84M709,Harlem Village Academy North Charter School,205,Good,,,0.832,0.102,0.746,0.886,
84Q320,United Charter High School for Advanced Math and Science lV,361,Good,0.69,0.87,0.666,0.066,0.607,0.896,0.84
84Q340,Challenge Preparatory Charter School,302,Fair,0.79,0.88,0.827,0.116,0.745,0.853,0.82
84Q373,United Charter High School for the Humanities lV,187,Good,0.87,0.86,0.909,0.144,0.872,0.85,0.91
84Q380,Forte Preparatory Academy Charter School,202,,0.65,0.89,0.829,0.134,0.698,,0.86
84Q414,Renaissance Charter School 2,173,,0.81,0.92,0.823,0.26,0.642,0.991,0.84
84Q705,Renaissance Charter School,269,Good,0.84,0.88,0.722,0.082,0.658,0.906,0.84
84R067,John W. Lavelle Preparatory Charter School,165,Good,0.81,0.88,0.768,0.061,0.709,0.869,0.74
84R070,Lois and Richard Nicotra Early College Charter School,192,Good,,,0.758,0.083,0.682,0.883,
84R083,Richmond Preparatory Charter School,58,,,0.66,0.703,0.086,0.655,0.898,
84X185,Pharos Academy Charter School,231,Excellent,0.84,0.91,0.9,0.126,0.831,0.924,0.82
84X202,United Charter High School for Advanced Math and Science ll,488,Excellent,0.84,0.88,0.901,0.113,0.842,0.909,0.88
84X208,United Charter High School for the Humanities II,248,Good,0.77,0.9,0.931,0.21,0.871,0.787,0.82
84X309,South Bronx Charter School for International Cultures and the Arts,96,,,0.91,0.895,0.219,0.74,0.871,
84X345,Leaders In Our Neighborhood Charter School,296,Good,0.76,0.93,0.902,0.149,0.841,0.885,0.87
84X347,International Leadership Charter High School,319,Good,,,0.889,0.179,0.809,0.914,
84X380,Success Academy Charter School - Bronx 3,441,Fair,,,0.791,0.077,0.698,,
84X387,Brilla College Preparatory Charter School,92,,,,0.925,0.163,0.88,0.909,
84X393,University Prep Charter High School,446,Excellent,0.79,0.63,0.868,0.099,0.796,0.924,0.93
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries",454,Good,0.88,1.0,0.903,0.159,0.844,0.87,0.92
84X429,Charter High School for Law and Social Justice,473,Fair,0.94,0.91,,0.195,0.879,0.802,0.92
84X460,Atmosphere Academy Public Charter School,772,Good,0.79,0.93,0.847,0.141,0.762,0.894,0.85
84X461,Nuasin Next Generation Charter School,280,Fair,0.76,0.88,0.943,0.154,0.882,0.843,0.86
84X465,Boys Preparatory Charter School of New York,59,,,,0.927,0.085,0.898,,
84X471,American Dream Charter School,341,Excellent,0.85,0.91,,0.202,0.865,0.885,0.83
84X482,Dr. Richard Izquierdo Health and Science Charter School,426,Good,0.84,0.87,,0.122,0.89,0.83,0.82
84X487,Girls Preparatory Charter School of the Bronx,74,,,,0.894,0.162,0.851,,
84X488,The Equality Charter School,387,Fair,0.88,0.92,0.761,0.054,0.682,0.901,0.86
84X539,United Charter High School for Advanced Math and Science,415,Good,0.8,0.81,0.887,0.106,0.827,0.872,0.88
84X553,United Charter High School for the Humanities,333,Good,0.77,0.96,0.918,0.153,0.865,0.867,0.87
84X581,South Bronx Community Charter High School,353,Needs Improvement,0.71,0.86,0.924,0.19,0.864,0.678,0.91
84X585,Legacy College Preparatory Charter School,525,Fair,0.86,0.87,0.932,0.16,0.863,0.866,0.85
84X597,Urban Assembly Charter School for Computer Science,494,Good,0.91,0.92,0.896,0.119,0.826,0.906,0.96
84X611,AECI II: NYC Charter High School for Computer Engineering and Innovation,447,Good,0.83,0.83,0.938,0.157,0.879,0.883,0.89
84X614,Dream Charter School Mott Haven,499,Excellent,,0.9,0.9,0.138,0.852,0.863,
84X617,KIPP Bronx Charter School III,1466,Good,,,0.881,0.117,0.812,0.906,
84X627,Capital Preparatory Bronx Charter School,206,,0.78,0.82,0.684,0.083,0.597,0.939,0.69
84X635,Earl Monroe New Renaissance Basketball Charter School,363,Fair,,0.93,0.798,0.085,0.727,0.768,
84X640,Family Life Academy Charter Schools High School,425,,,,0.939,0.181,0.878,0.869,
84X648,Girls Preparatory Charter School of New York,83,,,,0.92,0.145,0.807,,
84X649,Democracy Preparatory Endurance Charter School,385,,0.77,,0.882,0.153,0.79,0.826,0.78
84X703,Bronx Preparatory Charter School,505,Fair,,,0.912,0.097,0.851,0.847,
84X704,KIPP Academy Charter School,278,Excellent,,,0.853,0.104,0.766,0.934,
