DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
10X213,Bronx Engineering and Technology Academy,341,Good,0.96,0.81,0.915,0.214,0.827,0.81,0.91,85,0.506,105,0.914,0.895,105,36.7,-35.805,79%
10X225,Theatre Arts Production Company School,340,Fair,0.74,0.87,,0.126,0.921,0.826,0.85,85,0.612,94,0.872,0.851,94,43.5,-42.649,73%
10X228,Jonas Bronck Academy,140,,0.94,0.92,0.922,0.157,0.879,0.926,0.77,,,,,,,,,70%
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",266,Fair,0.84,0.78,0.931,0.173,0.868,0.83,0.9,65,0.677,68,0.926,0.75,68,32.2,-31.45,78%
10X243,West Bronx Academy for the Future,348,Fair,0.65,0.96,,0.161,0.908,0.872,0.86,97,0.66,79,0.899,0.785,79,35.9,-35.115,65%
10X264,Bronx Academy for Software Engineering (BASE),371,Good,0.83,0.79,0.932,0.191,0.863,0.81,0.85,93,0.656,77,0.87,0.818,77,49.7,-48.882,74%
10X268,Kingsbridge International High School,206,Fair,0.67,0.83,,0.51,0.684,0.866,0.8,64,0.281,53,0.792,0.755,53,30,-29.245,69%
10X284,Bronx School of Law and Finance,332,Good,0.94,0.91,,0.253,0.901,0.836,0.92,75,0.64,84,0.964,0.929,84,41.1,-40.171,79%
10X342,International School for Liberal Arts,368,Good,0.87,0.88,,0.438,0.815,0.88,0.88,91,0.516,95,0.905,0.895,95,43.2,-42.305,76%
10X351,Bronx Collaborative High School,435,Fair,0.58,,0.943,0.2,0.883,0.711,0.85,84,0.5,111,0.892,0.856,111,29.2,-28.344,63%
10X353,World View High School,627,Good,0.78,0.93,0.908,0.217,0.812,0.875,0.87,126,0.579,132,0.962,0.955,132,52.6,-51.645,77%
10X368,In-Tech Academy (M.S. / High School 368),536,Good,0.76,0.84,0.875,0.125,0.8,0.914,0.9,133,0.744,110,0.973,0.964,110,54.9,-53.936,71%
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),458,Good,0.83,0.84,0.923,0.159,0.867,0.841,0.89,83,0.675,97,0.948,0.938,97,47.5,-46.562,78%
10X433,High School for Teaching and the Professions,327,Good,0.87,0.93,,0.287,0.875,0.886,0.88,89,0.685,80,0.888,0.775,80,33.8,-33.025,76%
10X434,Belmont Preparatory High School,329,Good,0.9,0.8,0.938,0.155,0.888,0.851,0.84,89,0.876,68,0.971,0.956,68,58.1,-57.144,71%
10X437,Fordham High School for the Arts,351,Excellent,0.9,0.97,0.8,0.094,0.729,0.911,0.9,96,0.833,84,0.988,0.976,84,76.2,-75.224,76%
10X438,Fordham Leadership Academy,365,Good,,0.95,0.93,0.156,0.868,0.894,,97,0.701,73,1,0.986,73,43.6,-42.614,
10X439,Bronx High School for Law and Community Service,360,Good,0.92,0.85,0.923,0.158,0.878,0.896,0.9,86,0.721,89,0.978,0.944,89,51.9,-50.956,75%
10X440,DeWitt Clinton High School,1219,Good,0.86,0.92,0.893,0.193,0.832,0.905,0.89,238,0.634,297,0.97,0.953,297,57.5,-56.547,78%
10X442,"Celia Cruz Bronx High School of Music, The",407,Excellent,0.88,0.87,0.83,0.128,0.752,0.949,0.9,98,0.735,98,1,1,98,68.5,-67.5,80%
10X445,The Bronx High School of Science,2953,Excellent,0.86,0.78,0.454,0.036,0.376,0.957,0.87,715,0.948,751,1,0.996,751,95.8,-94.804,77%
10X477,Marble Hill High School for International Studies,399,Excellent,0.79,0.82,0.922,0.291,0.812,0.92,0.88,95,0.758,106,0.981,0.962,106,63.4,-62.438,72%
10X524,Crotona International High School,357,Good,0.91,0.87,,0.412,0.675,0.882,0.87,67,0.358,74,0.986,0.919,74,53.7,-52.781,73%
10X546,Bronx Theatre High School,219,Fair,0.9,0.85,0.944,0.247,0.886,0.774,0.94,64,0.5,67,0.881,0.761,67,35.2,-34.439,83%
10X549,Discovery High School,383,Good,0.87,0.81,0.936,0.248,0.851,0.911,0.82,98,0.602,94,0.957,0.957,94,48.5,-47.543,75%
10X565,High School for Energy and Technology,325,Good,0.78,0.92,0.941,0.182,0.886,0.851,0.78,74,0.689,68,0.941,0.926,68,45.2,-44.274,67%
10X696,High School of American Studies at Lehman College,393,Excellent,0.86,0.84,0.396,0.046,0.303,0.959,0.87,86,1,113,1,1,113,95.7,-94.7,77%
11X249,Bronx Health Sciences High School,338,Excellent,0.95,0.83,0.812,0.124,0.731,0.908,0.9,89,0.742,79,1,1,79,58,-57,81%
11X265,Bronx Lab School,262,Good,0.97,0.98,0.913,0.237,0.836,0.839,0.98,48,0.396,74,0.838,0.757,74,45.7,-44.943,92%
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,437,Fair,0.86,0.84,0.847,0.121,0.755,0.868,0.87,87,0.437,98,0.969,0.918,98,44,-43.082,75%
11X275,High School of Computers and Technology,472,Fair,0.95,0.77,0.864,0.125,0.773,0.861,0.87,74,0.527,122,0.852,0.779,122,45.6,-44.821,74%
11X288,Collegiate Institute for Math and Science,562,Good,0.82,0.81,0.818,0.096,0.737,0.909,0.89,135,0.681,138,0.971,0.942,138,58.5,-57.558,77%
11X290,Bronx Academy of Health Careers,306,Fair,0.9,0.83,0.885,0.288,0.788,0.905,0.86,80,0.55,79,0.899,0.81,79,46.8,-45.99,72%
11X299,Astor Collegiate Academy,424,Fair,0.81,0.83,0.818,0.12,0.745,0.855,0.85,84,0.762,111,0.901,0.874,111,41.6,-40.726,69%
11X418,Bronx High School for the Visual Arts,406,Fair,0.76,0.85,0.885,0.126,0.837,0.881,0.84,96,0.49,98,0.969,0.949,98,47.1,-46.151,72%
11X455,Harry S Truman High School,1649,Fair,0.78,0.82,0.835,0.183,0.753,0.925,0.88,467,0.441,508,0.931,0.854,508,43.6,-42.746,75%
11X508,Bronxdale High School,388,Fair,0.93,0.88,0.854,0.106,0.784,0.903,0.88,90,0.544,103,0.903,0.786,103,39.8,-39.014,79%
11X509,High School of Language and Innovation,373,Good,0.88,0.88,,0.268,0.633,0.91,0.83,88,0.42,95,0.979,0.958,95,51.7,-50.742,75%
11X513,New World High School,286,Excellent,0.88,0.89,0.941,0.22,0.755,0.916,0.89,79,0.722,44,0.955,0.909,44,43.3,-42.391,79%
11X514,The Bronxwood Preparatory Academy,410,Good,0.83,0.9,0.856,0.117,0.817,0.931,0.86,89,0.528,97,0.99,0.969,97,41.3,-40.331,73%
11X542,Pelham Preparatory Academy,449,Good,0.85,0.94,0.814,0.085,0.751,0.904,0.88,111,0.667,108,0.954,0.935,108,51.4,-50.465,77%
11X544,High School for Contemporary Arts,295,Fair,0.71,0.98,0.924,0.203,0.858,0.815,0.8,55,0.509,103,0.883,0.845,103,26.8,-25.955,69%
11X545,Bronx Aerospace High School,370,Fair,0.82,0.84,0.906,0.216,0.824,0.884,0.85,41,0.585,102,0.951,0.922,102,31.9,-30.978,73%
12X242,Mott Hall V,356,Good,0.7,0.86,0.936,0.11,0.888,0.898,0.9,98,0.592,89,0.966,0.899,89,40.8,-39.901,76%
12X248,"Metropolitan High School, The",177,Fair,0.91,0.78,,0.271,0.91,0.761,0.82,35,0.343,48,0.917,0.917,48,30,-29.083,75%
12X251,Explorations Academy H.S.,247,Fair,0.73,0.83,,0.215,0.919,0.893,0.9,72,0.319,76,0.895,0.816,76,36.7,-35.884,83%
12X267,Bronx Latin,296,Good,0.62,0.83,,0.162,0.909,0.861,0.83,74,0.662,74,0.986,0.959,74,57.9,-56.941,66%
12X271,East Bronx Academy for the Future,412,Good,0.9,0.87,,0.218,0.888,0.837,0.89,99,0.475,99,0.899,0.869,99,38.3,-37.431,73%
12X388,Pan American International High School at Monroe,344,Good,0.95,0.81,,0.413,0.599,0.879,0.93,62,0.355,49,0.898,0.857,49,42.6,-41.743,85%
12X478,The Cinema School,303,Fair,0.72,0.92,0.915,0.145,0.855,0.842,0.81,77,0.74,70,0.929,0.843,70,43.2,-42.357,70%
12X479,Bronx Career and College Preparatory High School,124,Needs Improvement,,0.77,0.946,0.202,0.919,0.735,,49,0.388,44,0.727,0.545,44,38.7,-38.155,
12X511,Bronx Envision Academy,267,Fair,0.86,0.84,,0.236,0.865,0.825,0.85,70,0.557,74,0.865,0.851,74,37.5,-36.649,71%
12X521,The Metropolitan Soundview High School,360,Fair,0.85,0.82,,0.178,0.894,0.88,0.83,105,0.343,87,0.897,0.805,87,34.7,-33.895,72%
12X550,High School of World Cultures,376,Good,0.85,0.86,,0.338,0.649,0.896,0.89,91,0.385,86,0.907,0.814,86,41.1,-40.286,81%
12X641,Bard High School Early College Bronx,247,Excellent,1,,0.723,0.101,0.615,0.932,0.83,,,23,1,1,23,79.6,-78.6,77%
12X682,Fannie Lou Hamer Freedom High School,411,Excellent,0.82,0.93,,0.2,0.883,0.782,0.94,112,0.616,120,0.95,0.908,120,41.8,-40.892,85%
12X684,Wings Academy,231,Fair,,0.81,,0.216,0.926,0.801,,56,0.339,63,0.825,0.794,63,33.1,-32.306,
13K265,Dr. Susan S. McKinney Secondary School of the Arts,128,Fair,0.8,0.83,0.924,0.172,0.852,0.78,0.81,43,0.419,45,0.933,0.8,45,31.3,-30.5,67%
13K350,Urban Assembly School of Music and Art,139,Good,0.96,0.94,0.84,0.223,0.734,0.791,0.92,25,0.48,28,1,1,28,51.7,-50.7,83%
13K412,Brooklyn Community Arts & Media High School (BCAM),356,Good,0.79,0.93,0.884,0.171,0.826,0.84,0.88,109,0.615,103,0.951,0.942,103,44.8,-43.858,72%
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",447,Excellent,0.73,0.83,0.822,0.181,0.729,0.927,0.77,126,0.825,117,0.983,0.974,117,61.2,-60.226,56%
13K430,Brooklyn Technical High School,5848,Excellent,0.84,0.7,0.514,0.032,0.439,0.938,0.89,1320,0.885,1538,0.989,0.981,1538,96.3,-95.319,79%
13K439,Brooklyn International High School,308,Good,0.91,0.84,,0.386,0.695,0.862,0.9,80,0.5,86,0.826,0.791,86,46.7,-45.909,83%
13K483,The Urban Assembly School for Law and Justice,410,Good,0.92,0.85,0.816,0.122,0.754,0.822,0.89,105,0.657,98,0.99,0.959,98,53.8,-52.841,77%
13K527,Urban Assembly Institute of Math and Science for Young Women,250,Good,0.91,0.9,0.862,0.1,0.812,0.859,0.86,88,0.784,54,1,1,54,55.1,-54.1,79%
13K594,Gotham Professional Arts Academy,223,Good,,0.87,0.857,0.166,0.789,0.792,,44,0.568,72,0.944,0.889,72,52.1,-51.211,
13K595,Bedford Academy High School,338,Excellent,0.75,0.85,0.696,0.044,0.598,0.91,0.89,89,0.831,88,1,0.989,88,72.3,-71.311,72%
13K605,George Westinghouse Career and Technical Education High School,558,Fair,0.7,0.85,0.824,0.156,0.742,0.876,0.82,124,0.484,112,0.982,0.964,112,45.2,-44.236,66%
13K670,Benjamin Banneker Academy,852,Good,0.83,0.81,0.772,0.093,0.694,0.856,0.85,179,0.687,133,1,1,133,67.7,-66.7,68%
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",442,Fair,0.61,0.85,0.753,0.086,0.674,0.869,0.87,109,0.633,88,0.989,0.943,88,50,-49.057,69%
13K963,Design Works High School,162,,0.81,0.91,0.609,0.117,0.525,0.916,0.72,,,,,,,,,66%
14K071,Juan Morel Campos Secondary School,344,Fair,0.9,0.91,,0.25,0.846,0.833,0.9,70,0.529,68,0.868,0.809,68,37.7,-36.891,81%
14K449,"Brooklyn Latin School, The",773,Excellent,0.94,0.76,0.52,0.025,0.44,0.932,0.85,190,0.889,194,0.995,0.995,194,92.2,-91.205,78%
14K454,The Williamsburg High School of Art and Technology,425,Good,0.73,0.83,0.839,0.174,0.746,0.835,0.89,99,0.667,101,0.95,0.931,101,59.3,-58.369,81%
14K474,PROGRESS High School for Professional Careers,422,Fair,0.8,0.96,0.929,0.268,0.763,0.878,0.88,98,0.337,97,0.876,0.835,97,37.3,-36.465,79%
14K477,East Williamsburg Scholars Academy,489,Fair,0.79,0.82,0.949,0.344,0.71,0.861,0.84,123,0.455,169,0.852,0.846,169,34.6,-33.754,77%
14K478,"The High School for Enterprise, Business and Technology",527,Fair,0.67,0.77,0.918,0.228,0.784,0.859,0.83,133,0.511,128,0.914,0.852,128,42.2,-41.348,72%
14K488,Brooklyn Preparatory High School,590,Fair,0.79,0.86,0.854,0.137,0.776,0.914,0.91,131,0.748,123,0.984,0.967,123,54.7,-53.733,78%
14K558,Williamsburg High School for Architecture and Design,624,Excellent,0.93,0.81,0.83,0.138,0.761,0.908,0.93,137,0.715,141,0.993,0.957,141,54.3,-53.343,83%
14K561,Williamsburg Preparatory School,668,Good,0.8,0.84,0.851,0.138,0.774,0.849,0.83,166,0.807,158,0.956,0.956,158,58.5,-57.544,74%
14K586,Lyons Community School,266,Fair,0.87,0.9,0.933,0.173,0.857,0.792,0.88,62,0.29,79,0.785,0.722,79,34.8,-34.078,76%
14K610,A-Tech High School,440,Good,0.88,0.95,0.862,0.134,0.809,0.926,0.89,87,0.368,72,0.944,0.931,72,57,-56.069,79%
14K614,Young Women's Leadership School of Brooklyn,165,Good,0.96,0.7,0.926,0.212,0.867,0.801,0.91,48,0.917,47,0.957,0.915,47,53,-52.085,78%
14K685,El Puente Academy for Peace and Justice,182,Fair,0.83,0.91,0.95,0.198,0.83,0.74,0.9,48,0.5,45,0.778,0.756,45,38,-37.244,82%
15K429,Digital Arts and Cinema Technology High School,295,Excellent,0.91,0.85,0.729,0.095,0.654,0.899,0.87,84,0.81,67,1,1,67,69.1,-68.1,78%
15K448,Brooklyn Collaborative Studies,374,Good,,0.89,0.772,0.11,0.698,0.831,,93,0.699,97,0.938,0.876,97,50.6,-49.724,
15K462,John Jay School for Law,451,Fair,0.51,0.82,0.866,0.166,0.803,0.867,0.82,102,0.696,104,0.894,0.846,104,48.1,-47.254,69%
15K463,Cyberarts Studio Academy,267,Good,0.89,0.85,0.909,0.199,0.779,0.824,0.87,65,0.477,82,0.866,0.866,82,46.4,-45.534,81%
15K464,Park Slope Collegiate,358,Good,0.87,,0.793,0.131,0.715,0.888,0.75,90,0.7,84,0.976,0.917,84,45.9,-44.983,72%
15K497,The Boerum Hill School for International Studies,345,Fair,0.84,0.81,0.633,0.09,0.559,0.872,0.82,80,0.6,75,0.973,0.893,75,56.1,-55.207,71%
15K519,Cobble Hill School of American Studies,322,Good,0.67,0.94,0.919,0.27,0.714,0.815,0.87,75,0.56,76,0.776,0.75,76,40.1,-39.35,66%
15K592,Khalil Gibran International Academy,109,Fair,0.92,0.8,0.936,0.193,0.853,0.843,0.84,38,0.632,29,0.793,0.621,29,31.7,-31.079,75%
15K656,Brooklyn High School of the Arts,889,Good,0.92,0.88,0.643,0.063,0.562,0.896,0.88,210,0.771,221,0.973,0.946,221,66,-65.054,72%
15K667,Sunset Park High School,1349,Good,0.7,0.77,0.917,0.177,0.794,0.841,0.86,325,0.554,327,0.908,0.865,327,50.1,-49.235,73%
15K684,Millennium Brooklyn HS,686,Excellent,0.95,0.86,0.57,0.038,0.499,0.918,0.88,166,0.855,170,1,1,170,91.9,-90.9,84%
16K455,Boys and Girls High School,352,Needs Improvement,0.65,,0.928,0.241,0.852,0.803,0.84,96,0.438,106,0.802,0.717,106,27.9,-27.183,69%
16K498,Brooklyn High School for Law and Technology,469,Fair,0.45,0.76,0.886,0.166,0.817,0.827,0.73,145,0.593,125,0.912,0.888,125,42.6,-41.712,64%
16K688,The Brooklyn Academy of Global Finance,226,Fair,0.82,0.84,,0.261,0.814,0.79,0.86,42,0.333,57,0.912,0.895,57,37,-36.105,73%
16K765,Nelson Mandela High School,136,Fair,0.56,0.95,0.888,0.25,0.772,0.848,0.78,33,0.364,26,0.923,0.885,26,26.6,-25.715,58%
17K122,Pathways in Technology Early College High School (P-Tech),530,Fair,0.72,0.81,0.777,0.094,0.706,0.884,0.83,97,0.598,110,0.918,0.836,110,47,-46.164,70%
17K382,Academy for College Preparation and Career Exploration: A College Board School,303,Good,0.86,1,0.866,0.251,0.759,0.952,0.9,46,0.696,56,0.929,0.911,56,38.8,-37.889,77%
17K408,Academy of Hospitality and Tourism,407,Good,0.95,0.82,0.888,0.192,0.789,0.802,0.91,70,0.457,100,0.85,0.78,100,44.2,-43.42,80%
17K524,International High School at Prospect Heights,338,Good,0.94,0.91,,0.376,0.692,0.848,0.89,53,0.547,73,0.89,0.836,73,43.3,-42.464,83%
17K528,The High School for Global Citizenship,214,Fair,0.95,0.95,0.876,0.178,0.78,0.801,0.89,63,0.508,58,0.914,0.81,58,39,-38.19,81%
17K537,High School for Youth and Community Development at Erasmus,513,Good,0.86,0.85,0.858,0.172,0.768,0.931,0.9,114,0.605,143,0.958,0.888,143,41.3,-40.412,79%
17K539,High School for Service & Learning at Erasmus,246,Good,0.86,0.83,0.902,0.268,0.752,0.835,0.87,57,0.632,49,0.878,0.878,49,39.4,-38.522,70%
17K543,"Science, Technology and Research Early College High School at Erasmus",423,Excellent,0.81,0.8,0.719,0.076,0.645,0.962,0.88,100,0.77,136,1,0.985,136,67.8,-66.815,72%
17K546,High School for Public Service: Heroes of Tomorrow,371,Fair,0.86,0.84,0.812,0.194,0.722,0.854,0.88,122,0.689,87,0.977,0.897,87,38.8,-37.903,73%
17K547,Brooklyn Academy of Science and the Environment,247,Good,0.94,0.9,0.812,0.178,0.725,0.91,0.84,65,0.523,77,0.948,0.883,77,46.4,-45.517,77%
17K548,Brooklyn School for Music & Theatre,201,Fair,0.76,0.92,0.827,0.194,0.781,0.865,0.87,41,0.659,46,0.913,0.891,46,39.2,-38.309,69%
17K590,Medgar Evers College Preparatory School,893,Excellent,,0.99,0.603,0.064,0.498,0.941,,198,0.904,191,0.995,0.99,191,74,-73.01,
17K600,Clara Barton High School,1324,Fair,0.68,0.84,0.841,0.169,0.766,0.904,0.84,273,0.612,276,0.938,0.822,276,43.7,-42.878,64%
17K745,Brooklyn Institute for Liberal Arts,482,Fair,0.79,0.87,0.822,0.176,0.718,0.86,0.85,132,0.621,143,0.93,0.867,143,33.4,-32.533,71%
17K751,Academy for Health Careers,160,Needs Improvement,0.8,0.75,0.855,0.181,0.781,0.753,0.72,46,0.696,51,0.804,0.745,51,37.4,-36.655,60%
18K563,It Takes a Village Academy,268,Fair,0.82,0.91,0.861,0.224,0.713,0.834,0.84,70,0.586,70,0.829,0.771,70,37.2,-36.429,70%
18K566,Brooklyn Community High School for Excellence and Equity,253,Fair,0.82,0.95,0.839,0.237,0.664,0.885,0.89,57,0.544,70,0.871,0.814,70,34.1,-33.286,80%
18K567,Brooklyn Theatre Arts High School,238,Fair,0.84,0.81,0.874,0.303,0.71,0.82,0.84,43,0.581,46,0.913,0.891,46,32.3,-31.409,74%
18K569,Kurt Hahn Expeditionary Learning School,181,Good,,,0.869,0.238,0.773,0.801,,42,0.476,44,0.955,0.909,44,39.1,-38.191,
18K576,Victory Collegiate High School,290,Fair,0.75,0.98,0.88,0.166,0.786,0.85,0.88,52,0.462,67,0.94,0.91,67,39.9,-38.99,77%
18K617,High School for Innovation in Advertising and Media,386,Good,,,0.821,0.135,0.767,0.85,,67,0.463,78,0.949,0.872,78,44.1,-43.228,
18K629,Cultural Academy for the Arts and Sciences,296,Good,0.96,0.84,0.813,0.145,0.73,0.858,0.91,49,0.327,76,0.961,0.947,76,47.9,-46.953,82%
18K633,High School for Medical Professions,382,Fair,0.75,0.82,0.813,0.168,0.704,0.876,0.81,99,0.758,97,0.948,0.876,97,41.3,-40.424,71%
18K637,Academy for Conservation and the Environment,433,Good,0.92,0.96,0.814,0.157,0.716,0.925,0.83,96,0.677,83,0.988,0.892,83,49.6,-48.708,75%
18K642,Urban Action Academy,185,Needs Improvement,0.93,0.75,0.893,0.368,0.697,0.806,0.82,34,0.412,28,0.857,0.607,28,29.5,-28.893,71%
19K404,Academy for Young Writers,283,Good,0.67,0.86,0.863,0.152,0.823,0.816,0.83,74,0.554,71,0.901,0.873,71,39.4,-38.527,70%
19K409,East New York Family Academy,364,Good,0.85,0.85,0.859,0.17,0.783,0.849,0.86,84,0.607,88,0.955,0.943,88,39.1,-38.157,68%
19K422,Spring Creek Community School,270,Fair,0.57,0.86,0.887,0.107,0.844,0.851,0.77,62,0.484,49,0.959,0.918,49,39.6,-38.682,64%
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,418,Fair,0.91,0.81,0.92,0.249,0.852,0.8,0.88,43,0.512,88,0.852,0.83,88,36,-35.17,75%
19K507,Performing Arts and Technology High School,411,Good,0.87,0.79,0.893,0.217,0.771,0.857,0.93,63,0.587,95,0.968,0.968,95,53,-52.032,81%
19K510,World Academy for Total Community Health High School,207,Needs Improvement,0.79,0.8,0.929,0.304,0.744,0.755,0.86,29,0.31,45,0.867,0.756,45,31.1,-30.344,70%
19K583,Multicultural High School,282,Good,0.83,0.86,,0.301,0.574,0.89,0.9,84,0.226,66,0.985,0.985,66,47.2,-46.215,82%
19K615,Transit Tech Career and Technical Education High School,787,Good,0.85,0.83,0.833,0.158,0.742,0.782,0.84,200,0.765,146,0.932,0.911,146,46.8,-45.889,71%
19K618,Academy of Innovative Technology,390,Good,0.68,0.88,0.821,0.108,0.726,0.894,0.91,95,0.568,83,0.952,0.94,83,61.2,-60.26,80%
19K639,Brooklyn Lab School,455,Good,0.8,0.79,0.889,0.156,0.796,0.848,0.91,70,0.6,89,0.989,0.978,89,51.2,-50.222,76%
19K659,Cypress Hills Collegiate Preparatory School,410,Good,0.81,0.85,0.871,0.207,0.737,0.879,0.88,106,0.472,102,0.99,0.971,102,51.7,-50.729,78%
19K660,W. H. Maxwell Career and Technical Education High School,555,Fair,,0.77,0.935,0.268,0.877,0.759,,80,0.475,115,0.878,0.861,115,40.9,-40.039,
19K683,School for Classics High School,356,Fair,0.61,0.84,,0.18,0.888,0.832,0.88,60,0.4,69,0.957,0.942,69,38.1,-37.158,76%
19K764,The Urban Assembly School for Collaborative Healthcare,375,Fair,0.88,0.82,0.856,0.112,0.749,0.843,0.88,75,0.64,80,0.95,0.925,80,47.4,-46.475,77%
19K953,The East New York Arts and Civics High School,136,Fair,0.86,0.77,0.935,0.184,0.882,0.789,0.85,31,0.516,34,0.941,0.824,34,30.9,-30.076,73%
19K965,Bard High School Early College Brooklyn,146,,0.84,0.86,0.581,0.055,0.445,0.945,0.85,,,1,,,1,,,78%
20K445,New Utrecht High School,3212,Fair,0.85,0.74,0.813,0.075,0.699,0.883,0.85,745,0.69,655,0.908,0.849,655,60.6,-59.751,73%
20K485,High School of Telecommunication Arts and Technology,1209,Good,0.81,0.81,0.804,0.058,0.744,0.915,0.84,322,0.814,279,0.957,0.935,279,60.1,-59.165,71%
20K490,Fort Hamilton High School,4066,Good,0.88,0.74,0.77,0.09,0.667,0.889,0.87,990,0.744,972,0.924,0.87,972,61.8,-60.93,78%
20K505,Franklin Delano Roosevelt High School,3412,Fair,0.76,0.73,0.884,0.091,0.767,0.869,0.85,805,0.598,776,0.867,0.746,776,51.1,-50.354,73%
20K609,Urban Assembly School for Leadership and Empowerment,327,Good,0.82,0.75,0.896,0.119,0.847,0.875,0.8,80,0.888,84,0.964,0.929,84,70,-69.071,69%
21K337,International High School at Lafayette,349,Good,0.84,0.78,,0.421,0.662,0.808,0.88,55,0.709,76,0.947,0.921,76,46.1,-45.179,80%
21K344,Rachel Carson High School for Coastal Studies,622,Good,0.88,0.76,0.857,0.08,0.789,0.876,0.85,132,0.667,166,0.946,0.898,166,49.7,-48.802,77%
21K348,High School of Sports Management,388,Fair,0.59,0.79,0.936,0.103,0.75,0.815,0.79,58,0.448,119,0.739,0.689,119,33.7,-33.011,67%
21K410,Abraham Lincoln High School,2228,Good,0.92,0.79,0.861,0.121,0.776,0.843,0.88,404,0.656,589,0.912,0.851,589,47.3,-46.449,78%
21K468,Kingsborough Early College School,426,Excellent,0.96,0.88,0.77,0.061,0.707,0.856,0.85,97,0.866,102,0.98,0.98,102,84,-83.02,74%
21K525,Edward R. Murrow High School,3490,Fair,0.86,0.82,0.666,0.08,0.582,0.877,0.86,933,0.75,870,0.903,0.795,870,58.5,-57.705,73%
21K540,John Dewey High School,2210,Fair,0.84,0.73,0.867,0.108,0.794,0.893,0.84,525,0.638,578,0.898,0.829,578,53.9,-53.071,73%
21K559,Life Academy High School for Film and Music,195,Good,1,0.94,0.909,0.185,0.718,0.797,0.91,52,0.577,63,0.762,0.746,63,40.9,-40.154,87%
21K572,Leaders High School,384,Excellent,0.89,0.86,0.851,0.07,0.792,0.856,0.89,88,0.761,100,0.87,0.85,100,50.1,-49.25,80%
21K620,William E. Grady Career and Technical Education High School,644,Fair,0.89,0.81,0.847,0.096,0.783,0.821,0.85,135,0.511,163,0.804,0.773,163,41.8,-41.027,73%
21K690,Brooklyn Studio Secondary School,515,Fair,0.74,0.84,0.84,0.122,0.757,0.904,0.8,144,0.583,147,0.966,0.932,147,56.3,-55.368,65%
22K405,Midwood High School,3642,Excellent,0.81,0.75,0.702,0.049,0.636,0.917,0.86,960,0.848,955,0.982,0.962,955,78.5,-77.538,77%
22K425,James Madison High School,4005,Good,0.88,0.78,0.693,0.089,0.6,0.886,0.88,898,0.757,841,0.919,0.874,841,61.8,-60.926,77%
22K535,Leon M. Goldstein High School for the Sciences,953,Excellent,,,0.558,0.034,0.467,0.892,,254,0.882,207,0.981,0.961,207,79.4,-78.439,
22K555,Brooklyn College Academy,635,Excellent,0.96,0.88,0.653,0.057,0.554,0.96,0.91,140,0.871,149,1,1,149,80.3,-79.3,79%
22K611,Origins High School,480,Fair,0.8,0.84,0.899,0.129,0.819,0.849,0.84,110,0.627,109,0.945,0.862,109,45.8,-44.938,68%
23K493,Brooklyn Collegiate: A College Board School,515,Fair,0.76,0.86,0.884,0.175,0.823,0.831,0.86,112,0.482,127,0.961,0.929,127,40.3,-39.371,74%
23K514,Frederick Douglass Academy VII High School,298,Good,0.88,0.85,0.925,0.255,0.832,0.839,0.86,28,0.607,60,0.933,0.9,60,34.3,-33.4,75%
23K644,Eagle Academy for Young Men II,431,Good,0.97,0.97,0.821,0.097,0.749,0.916,0.94,95,0.484,113,0.956,0.929,113,41.6,-40.671,85%
23K697,Teachers Preparatory High School,182,Fair,0.72,0.92,,0.33,0.896,0.802,0.9,37,0.324,43,0.814,0.698,43,28.3,-27.602,71%
24Q236,International High School for Health Sciences,295,Good,0.96,0.83,,0.502,0.525,0.897,0.94,34,0.706,76,0.882,0.829,76,42.1,-41.271,87%
24Q264,Academy of Finance and Enterprise,863,Good,0.82,0.84,0.778,0.075,0.713,0.895,0.87,226,0.845,205,0.902,0.849,205,62.7,-61.851,75%
24Q267,High School of Applied Communication,376,Fair,0.73,0.79,0.842,0.146,0.766,0.858,0.74,86,0.651,95,0.916,0.905,95,49.3,-48.395,72%
24Q293,Civic Leadership Academy,565,Good,0.89,0.9,0.885,0.168,0.804,0.895,0.91,122,0.672,148,0.966,0.919,148,52.7,-51.781,84%
24Q296,Pan American International High School,510,Excellent,0.98,0.96,,0.769,0.512,0.95,0.93,87,0.529,166,0.976,0.976,166,57.7,-56.724,88%
24Q299,Bard High School Early College Queens,652,Excellent,0.86,0.85,0.571,0.06,0.492,0.939,0.88,168,0.94,168,0.994,0.982,168,94.3,-93.318,75%
