DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
02M422,Quest to Learn,201,Fair,0.75,0.83,0.808,0.254,0.672,0.769,0.85,51,0.529,53,0.925,0.868,53,51.9,-51.032,71%
02M425,Leadership and Public Service High School,267,Fair,0.84,0.82,0.847,0.251,0.7,0.775,0.86,58,0.69,83,0.928,0.843,83,48.1,-47.257,78%
02M427,Manhattan Academy For Arts & Language,288,Fair,0.93,0.73,,0.767,0.764,0.699,0.86,32,0.719,62,0.839,0.726,62,37.9,-37.174,78%
02M432,Murray Hill Academy,300,Good,0.97,0.77,0.797,0.103,0.727,0.856,0.88,60,0.733,52,0.942,0.846,52,58.7,-57.854,77%
02M437,Hudson High School of Learning Technologies,187,Fair,0.75,0.83,0.855,0.267,0.765,0.813,0.87,47,0.596,57,0.93,0.842,57,42.2,-41.358,75%
02M438,International High School at Union Square,361,Good,0.94,0.8,,0.609,0.637,0.855,0.9,68,0.544,94,0.883,0.883,94,50.7,-49.817,86%
02M439,Manhattan Village Academy,393,Excellent,0.65,0.84,0.629,0.097,0.522,0.928,0.85,118,0.881,116,1,0.983,116,84.5,-83.517,77%
02M449,Vanguard High School,398,Good,0.91,0.89,0.861,0.126,0.791,0.793,0.94,109,0.771,112,0.92,0.884,112,53.3,-52.416,82%
02M459,Manhattan International High School,358,Good,0.94,0.86,,0.461,0.682,0.842,0.92,84,0.476,92,0.913,0.837,92,49.6,-48.763,84%
02M475,Stuyvesant High School,3266,Excellent,0.88,0.8,0.458,0.039,0.371,0.961,0.89,804,0.964,795,0.999,0.997,795,96.9,-95.903,78%
02M489,High School of Economics and Finance,645,Good,0.81,0.81,0.785,0.127,0.701,0.901,0.88,162,0.728,168,0.964,0.946,168,68.4,-67.454,76%
02M500,Unity Center for Urban Technologies,256,Good,,,0.885,0.332,0.781,0.829,,82,0.622,61,0.951,0.951,61,51,-50.049,
02M507,Urban Assembly Gateway School for Technology,405,Excellent,0.95,0.93,0.704,0.116,0.64,0.899,0.91,95,0.726,96,0.99,0.979,96,69.2,-68.221,83%
02M519,Talent Unlimited High School,462,Excellent,0.89,0.89,0.676,0.123,0.574,0.886,0.89,103,0.845,96,0.99,0.969,96,67.2,-66.231,76%
02M520,Murry Bergtraum High School for Business Careers,133,Needs Improvement,0.86,0.53,0.91,0.346,0.729,0.716,0.79,37,0.649,30,0.733,0.633,30,30.7,-30.067,70%
02M529,Jacqueline Kennedy Onassis High School,316,Fair,0.94,0.91,0.891,0.275,0.778,0.814,0.91,44,0.523,71,0.915,0.859,71,53.4,-52.541,84%
02M531,Repertory Company High School for Theatre Arts,204,Excellent,0.94,0.88,0.59,0.123,0.5,0.9,0.88,56,0.875,57,1,1,57,64.6,-63.6,79%
02M533,Union Square Academy for Health Sciences,520,Good,0.83,0.81,0.859,0.115,0.79,0.938,0.88,93,0.817,94,0.989,0.936,94,64.2,-63.264,80%
02M534,Harvest Collegiate High School,370,Fair,0.8,0.78,0.755,0.13,0.676,0.843,0.86,113,0.602,93,0.957,0.86,93,55.4,-54.54,74%
02M542,Manhattan Bridges High School,395,Excellent,0.79,0.84,0.935,0.294,0.787,0.924,0.89,105,0.724,111,0.964,0.946,111,61.7,-60.754,80%
02M543,New Design High School,415,Good,0.84,0.86,0.89,0.147,0.836,0.842,0.91,118,0.746,104,0.971,0.952,104,45.4,-44.448,81%
02M545,High School for Dual Language and Asian Studies,363,Excellent,0.88,0.71,0.715,0.091,0.62,0.975,0.9,92,0.924,81,1,1,81,86.6,-85.6,78%
02M546,Academy for Software Engineering,441,Good,0.77,0.85,0.854,0.175,0.787,0.833,0.86,87,0.655,94,0.947,0.915,94,48.9,-47.985,78%
02M551,Urban Assembly New York Harbor School,518,Fair,0.72,0.85,0.56,0.06,0.488,0.892,0.89,113,0.655,121,0.967,0.959,121,62.1,-61.141,72%
02M580,Richard R. Green High School of Teaching,407,Fair,0.89,0.83,0.578,0.125,0.496,0.845,0.91,67,0.612,108,0.935,0.926,108,59.4,-58.474,82%
02M600,The High School of Fashion Industries,1446,Good,0.87,0.83,0.788,0.127,0.723,0.889,0.9,374,0.791,354,0.96,0.938,354,61.7,-60.762,78%
02M605,Humanities Preparatory Academy,268,Good,0.99,0.69,0.682,0.112,0.601,0.881,0.87,47,0.894,82,0.915,0.902,82,55.7,-54.798,82%
02M615,Chelsea Career and Technical Education High School,388,Fair,0.8,0.88,0.858,0.134,0.807,0.811,0.88,105,0.619,84,0.929,0.881,84,56.5,-55.619,71%
02M630,Art and Design High School,1490,Excellent,0.85,0.89,0.469,0.053,0.379,0.905,0.86,395,0.749,341,0.982,0.968,341,77,-76.032,72%
02M655,The High School for Climate Justice,380,Fair,0.9,0.76,0.92,0.226,0.861,0.724,0.87,79,0.519,97,0.814,0.742,97,38.2,-37.458,80%
03M291,West End Secondary School,423,Excellent,,0.85,0.441,0.047,0.366,0.901,,102,0.873,107,1,0.991,107,86.6,-85.609,
03M307,"Urban Assembly School for Media Studies, The",332,Fair,0.85,0.92,0.882,0.226,0.81,0.835,0.88,72,0.667,71,0.958,0.887,71,40.3,-39.413,78%
03M402,The Urban Assembly School for Green Careers,323,Fair,0.49,0.88,0.927,0.186,0.845,0.789,0.85,56,0.518,37,0.892,0.865,37,29.6,-28.735,69%
03M403,The Global Learning Collaborative,393,Fair,0.88,0.78,0.921,0.232,0.852,0.792,0.87,107,0.71,101,0.98,0.96,101,50.5,-49.54,74%
03M415,Wadleigh Secondary School for the Performing & Visual Arts,274,Excellent,0.77,0.91,0.905,0.168,0.836,0.862,0.8,78,0.679,68,0.985,0.985,68,61.6,-60.615,69%
03M417,Frank McCourt High School,410,Good,0.9,0.79,0.671,0.066,0.607,0.887,0.83,99,0.909,98,0.99,0.949,98,57.4,-56.451,73%
