Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
26Q495_Black,26Q495,Black,73,0.00674,73,0.959,73,0.959,291,0.67,74,0.703,0.2849999999999999
26Q495_Hispanic or Latinx,26Q495,Hispanic,229,0.00653,229,0.956,229,0.983,997,0.644,196,0.73,0.30299999999999994
26Q495_White,26Q495,White,100,0.007909999999999999,100,0.96,100,0.97,,,103,0.854,0.16900000000000004
26Q566_Asian,26Q566,Asian,44,0.00659,44,0.909,44,0.955,188,0.564,34,0.794,0.25
26Q566_Black,26Q566,Black,99,0.00466,99,0.919,99,0.98,376,0.524,97,0.804,0.453
26Q566_Hispanic or Latinx,26Q566,Hispanic,44,0.00475,44,0.932,44,1.0,206,0.442,36,0.694,0.4570000000000001
26Q566_White,26Q566,White,10,,10,,10,,,,13,,
27Q260_Asian,27Q260,Asian,,,,,,,4,,,,
27Q260_Black,27Q260,Black,40,0.00359,40,0.9,40,0.9,161,0.385,25,0.56,0.541
27Q260_Hispanic or Latinx,27Q260,Hispanic,40,0.0028399999999999996,40,0.675,40,0.725,155,0.387,28,0.357,0.39100000000000007
27Q260_White,27Q260,White,,,,,,,,,,,
27Q262_Asian,27Q262,Asian,14,,14,,14,,42,0.619,11,,
27Q262_Black,27Q262,Black,81,0.00534,81,0.951,81,0.975,364,0.511,69,0.754,0.4169999999999999
27Q262_Hispanic or Latinx,27Q262,Hispanic,90,0.004710000000000001,90,0.911,90,0.944,365,0.419,81,0.753,0.44
27Q262_White,27Q262,White,15,0.006459999999999999,15,0.933,15,1.0,,,19,0.632,0.28700000000000014
27Q302_Asian,27Q302,Asian,3,,3,,3,,11,,4,,
27Q302_Black,27Q302,Black,40,0.005350000000000001,40,0.9,40,0.95,172,0.552,40,0.725,0.365
27Q302_Hispanic or Latinx,27Q302,Hispanic,81,0.00496,81,0.864,81,0.864,296,0.74,74,0.568,0.368
27Q302_White,27Q302,White,2,,2,,2,,,,2,,
