Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
30Q555_Black,30Q555,Black,7,,7,,7,,29,0.448,4,,
30Q555_Hispanic or Latinx,30Q555,Hispanic,281,0.00322,281,0.648,281,0.715,1034,0.448,379,0.335,0.326
30Q555_White,30Q555,White,12,,12,,12,,,,13,,
30Q575_Asian,30Q575,Asian,84,0.00777,84,0.964,84,0.976,267,0.723,105,0.848,0.18699999999999994
30Q575_Black,30Q575,Black,8,,8,,8,,41,0.683,13,,
30Q575_Hispanic or Latinx,30Q575,Hispanic,121,0.00614,121,0.876,121,0.934,429,0.711,139,0.813,0.262
30Q575_White,30Q575,White,137,0.007859999999999999,137,0.956,137,0.971,,,122,0.885,0.17000000000000004
30Q580_Asian,30Q580,Asian,37,0.00856,37,1.0,37,1.0,157,0.873,34,0.971,0.14400000000000002
30Q580_Black,30Q580,Black,3,,3,,3,,16,0.813,1,,
30Q580_Hispanic or Latinx,30Q580,Hispanic,21,0.00716,21,0.952,21,1.0,91,0.835,15,0.8,0.236
30Q580_White,30Q580,White,25,0.009179999999999999,25,1.0,25,1.0,,,40,1.0,0.08200000000000007
31R028_Asian,31R028,Asian,1,,1,,1,,1,,2,,
31R028_Black,31R028,Black,13,,13,,13,,55,0.273,13,,
31R028_Hispanic or Latinx,31R028,Hispanic,4,,4,,4,,35,0.343,13,,
31R028_White,31R028,White,1,,1,,1,,,,,,
31R047_Asian,31R047,Asian,41,0.00928,41,1.0,41,1.0,195,0.913,41,0.951,0.07200000000000006
31R047_Black,31R047,Black,10,,10,,10,,30,0.833,9,,
31R047_Hispanic or Latinx,31R047,Hispanic,34,0.006659999999999999,34,1.0,34,1.0,124,0.71,28,0.786,0.3340000000000001
31R047_White,31R047,White,54,0.00823,54,1.0,54,1.0,,,56,0.857,0.17700000000000005
31R064_Asian,31R064,Asian,18,0.00813,18,1.0,18,1.0,80,0.788,14,,0.18700000000000006
31R064_Black,31R064,Black,6,,6,,6,,23,0.609,9,,
31R064_Hispanic or Latinx,31R064,Hispanic,28,0.00649,28,1.0,28,1.0,156,0.628,25,0.68,0.351
31R064_White,31R064,White,66,0.006790000000000001,66,1.0,66,1.0,,,59,0.864,0.32099999999999995
31R080_Asian,31R080,Asian,23,0.00817,23,1.0,23,1.0,59,0.797,16,0.875,0.18299999999999994
31R080_Black,31R080,Black,23,0.00579,23,0.87,23,0.913,107,0.579,23,0.652,0.29100000000000004
31R080_Hispanic or Latinx,31R080,Hispanic,44,0.00466,44,0.955,44,0.955,182,0.571,32,0.594,0.48899999999999993
31R080_White,31R080,White,38,0.006770000000000001,38,0.947,38,0.974,,,38,0.842,0.2699999999999999
31R440_Asian,31R440,Asian,137,0.007709999999999999,137,0.956,137,0.978,615,0.92,116,0.776,0.18500000000000005
31R440_Black,31R440,Black,80,0.00376,80,0.688,80,0.775,273,0.538,70,0.4,0.31199999999999994
31R440_Hispanic or Latinx,31R440,Hispanic,218,0.00462,218,0.78,218,0.922,979,0.64,213,0.479,0.318
31R440_White,31R440,White,358,0.00664,358,0.93,358,0.958,,,377,0.658,0.266
31R445_Asian,31R445,Asian,28,0.0070599999999999994,28,0.964,28,0.964,130,0.623,33,0.727,0.258
31R445_Black,31R445,Black,100,0.00368,100,0.72,100,0.75,427,0.513,104,0.365,0.352
31R445_Hispanic or Latinx,31R445,Hispanic,266,0.00382,266,0.805,266,0.835,979,0.566,245,0.416,0.42300000000000004
31R445_White,31R445,White,54,0.00575,54,0.963,54,0.981,,,78,0.641,0.388
31R450_Asian,31R450,Asian,52,0.00796,52,0.962,52,0.962,179,0.726,29,0.931,0.16600000000000004
31R450_Black,31R450,Black,177,0.00421,177,0.746,177,0.797,763,0.515,134,0.791,0.32499999999999996
31R450_Hispanic or Latinx,31R450,Hispanic,245,0.00448,245,0.755,245,0.824,1239,0.497,260,0.742,0.30700000000000005
31R450_White,31R450,White,69,0.00645,69,0.884,69,0.928,,,71,0.859,0.239
31R455_Asian,31R455,Asian,116,0.00846,116,0.991,116,0.991,618,0.905,106,0.84,0.14500000000000002
31R455_Black,31R455,Black,13,,13,,13,,87,0.575,21,0.619,
31R455_Hispanic or Latinx,31R455,Hispanic,146,0.00509,146,0.918,146,0.925,715,0.705,190,0.611,0.40900000000000003
31R455_White,31R455,White,636,0.006770000000000001,636,0.964,636,0.986,,,683,0.755,0.2869999999999999
31R460_Asian,31R460,Asian,149,0.00777,149,0.953,149,0.98,634,0.91,162,0.864,0.17599999999999993
31R460_Black,31R460,Black,72,0.00399,72,0.681,72,0.833,258,0.744,62,0.532,0.2820000000000001
31R460_Hispanic or Latinx,31R460,Hispanic,249,0.00463,249,0.843,249,0.904,996,0.787,261,0.594,0.38
31R460_White,31R460,White,256,0.006500000000000001,256,0.945,256,0.973,,,300,0.797,0.29499999999999993
31R600_Asian,31R600,Asian,3,,3,,3,,10,,2,,
31R600_Black,31R600,Black,22,0.0045899999999999995,22,0.955,22,0.955,146,0.459,44,0.432,0.496
31R600_Hispanic or Latinx,31R600,Hispanic,90,0.00491,90,0.8,90,0.889,379,0.549,84,0.286,0.30900000000000005
31R600_White,31R600,White,27,0.006750000000000001,27,0.926,27,1.0,,,27,0.63,0.251
31R605_Asian,31R605,Asian,238,0.00981,238,0.996,238,0.996,949,0.948,251,0.88,0.015000000000000013
31R605_Black,31R605,Black,2,,2,,2,,13,,3,,
31R605_Hispanic or Latinx,31R605,Hispanic,11,,11,,11,,62,0.919,17,0.706,
31R605_White,31R605,White,102,0.00983,102,1.0,102,1.0,,,77,0.922,0.017000000000000015
32K168_Asian,32K168,Asian,10,,10,,10,,26,0.846,10,,
32K168_Black,32K168,Black,30,0.005390000000000001,30,1.0,30,1.0,99,0.727,33,0.818,0.46099999999999997
32K168_Hispanic or Latinx,32K168,Hispanic,30,0.0054,30,0.933,30,0.933,218,0.619,39,0.59,0.393
32K168_White,32K168,White,5,,5,,5,,,,3,,
32K403_Asian,32K403,Asian,2,,2,,2,,3,,,,
32K403_Black,32K403,Black,12,,12,,12,,52,0.288,7,,
32K403_Hispanic or Latinx,32K403,Hispanic,58,0.0035499999999999998,58,0.879,58,0.897,235,0.477,56,0.429,0.524
32K403_White,32K403,White,5,,5,,5,,,,4,,
32K545_Asian,32K545,Asian,,,,,,,3,,2,,
32K545_Black,32K545,Black,13,,13,,13,,57,0.386,13,,
32K545_Hispanic or Latinx,32K545,Hispanic,75,0.00365,75,0.973,75,0.973,375,0.483,101,0.287,0.608
32K545_White,32K545,White,,,,,,,,,,,
32K549_Asian,32K549,Asian,,,,,,,3,,1,,
32K549_Black,32K549,Black,8,,8,,8,,34,0.265,13,,
32K549_Hispanic or Latinx,32K549,Hispanic,63,0.00364,63,0.921,63,0.937,239,0.552,60,0.283,0.557
32K549_White,32K549,White,2,,2,,2,,,,1,,
32K552_Asian,32K552,Asian,2,,2,,2,,11,,2,,
32K552_Black,32K552,Black,18,0.00588,18,1.0,18,1.0,89,0.652,20,0.9,0.41200000000000003
32K552_Hispanic or Latinx,32K552,Hispanic,71,0.00528,71,0.972,71,0.972,319,0.705,65,0.8,0.44399999999999995
32K552_White,32K552,White,5,,5,,5,,,,9,,
32K554_Asian,32K554,Asian,3,,3,,3,,11,,5,,
32K554_Black,32K554,Black,6,,6,,6,,29,0.69,7,,
32K554_Hispanic or Latinx,32K554,Hispanic,39,0.00614,39,1.0,39,1.0,158,0.728,49,0.796,0.386
32K554_White,32K554,White,8,,8,,8,,,,4,,
32K556_Asian,32K556,Asian,,,,,,,7,,,,
32K556_Black,32K556,Black,9,,9,,9,,53,0.358,18,0.333,
32K556_Hispanic or Latinx,32K556,Hispanic,75,0.00297,75,0.773,75,0.827,301,0.472,75,0.373,0.47600000000000003
32K556_White,32K556,White,3,,3,,3,,,,1,,
84K037_Asian,84K037,Asian,,,,,,,2,,,,
84K037_Black,84K037,Black,,,,,,,146,0.836,,,
84K037_Hispanic or Latinx,84K037,Hispanic,,,2,,2,,124,0.935,,,
84K037_White,84K037,White,,,,,,,,,,,
84K356_Asian,84K356,Asian,,,,,,,4,,1,,
84K356_Black,84K356,Black,,,123,0.87,123,0.992,581,0.725,118,0.729,
84K356_Hispanic or Latinx,84K356,Hispanic,,,18,0.722,18,0.944,87,0.667,10,,
84K356_White,84K356,White,,,,,,,,,,,
84K358_Asian,84K358,Asian,,,,,,,4,,2,,
84K358_Black,84K358,Black,,,,,30,0.967,98,0.827,40,0.825,
84K358_Hispanic or Latinx,84K358,Hispanic,,,,,76,0.987,337,0.798,68,0.691,
84K358_White,84K358,White,,,,,1,,,,1,,
84K367_Asian,84K367,Asian,,,,,,,,,,,
84K367_Black,84K367,Black,,,,,,,,,1,,
84K367_Hispanic or Latinx,84K367,Hispanic,,,,,,,,,,,
84K367_White,84K367,White,,,,,,,,,,,
84K406_Asian,84K406,Asian,,,,,,,,,,,
84K406_Black,84K406,Black,,,32,0.563,32,0.75,66,0.455,11,,
84K406_Hispanic or Latinx,84K406,Hispanic,,,6,,6,,16,0.375,4,,
84K406_White,84K406,White,,,,,,,,,,,
84K473_Asian,84K473,Asian,,,,,,,2,,2,,
84K473_Black,84K473,Black,,,88,0.841,88,0.909,257,0.385,82,0.512,
84K473_Hispanic or Latinx,84K473,Hispanic,,,119,0.832,119,0.924,433,0.432,114,0.5,
84K473_White,84K473,White,,,5,,5,,,,3,,
84K517_Asian,84K517,Asian,,,1,,1,,4,,,,
84K517_Black,84K517,Black,,,90,0.922,90,0.967,380,0.495,87,0.828,
84K517_Hispanic or Latinx,84K517,Hispanic,,,22,0.682,22,0.955,98,0.5,18,0.611,
84K517_White,84K517,White,,,,,,,,,,,
84K593_Asian,84K593,Asian,,,,,,,,,,,
84K593_Black,84K593,Black,,,,,,,,,,,
84K593_Hispanic or Latinx,84K593,Hispanic,,,,,,,,,,,
84K593_White,84K593,White,,,,,,,,,,,
84K608_Asian,84K608,Asian,,,,,,,3,,1,,
84K608_Black,84K608,Black,,,95,0.926,95,1.0,401,0.643,82,0.695,
84K608_Hispanic or Latinx,84K608,Hispanic,,,32,0.875,32,1.0,116,0.569,14,,
84K608_White,84K608,White,,,,,,,,,,,
84K626_Asian,84K626,Asian,,,,,,,,,2,,
84K626_Black,84K626,Black,,,,,12,,1,,63,0.825,
84K626_Hispanic or Latinx,84K626,Hispanic,,,,,3,,,,12,,
84K626_White,84K626,White,,,,,,,,,,,
84K652_Asian,84K652,Asian,,,,,,,3,,2,,
84K652_Black,84K652,Black,,,39,0.744,39,0.974,210,0.805,64,0.656,
84K652_Hispanic or Latinx,84K652,Hispanic,,,9,,9,,32,0.781,20,0.5,
84K652_White,84K652,White,,,,,,,,,,,
84K680_Asian,84K680,Asian,,,1,,1,,4,,,,
84K680_Black,84K680,Black,,,40,0.95,40,0.95,243,0.601,,,
84K680_Hispanic or Latinx,84K680,Hispanic,,,18,1.0,18,1.0,126,0.73,,,
84K680_White,84K680,White,,,,,,,,,,,
84K693_Asian,84K693,Asian,,,2,,2,,13,,,,
84K693_Black,84K693,Black,,,26,0.731,26,0.808,98,0.327,28,0.321,
84K693_Hispanic or Latinx,84K693,Hispanic,,,87,0.724,87,0.874,308,0.341,82,0.524,
84K693_White,84K693,White,,,3,,3,,,,,,
84K712_Asian,84K712,Asian,,,1,,1,,8,,2,,
84K712_Black,84K712,Black,,,80,0.663,80,0.9,371,0.714,88,0.739,
84K712_Hispanic or Latinx,84K712,Hispanic,,,20,0.85,20,0.9,85,0.671,28,0.75,
84K712_White,84K712,White,,,2,,2,,,,,,
84K730_Asian,84K730,Asian,,,1,,1,,2,,,,
84K730_Black,84K730,Black,,,20,0.75,20,0.95,58,0.983,9,,
84K730_Hispanic or Latinx,84K730,Hispanic,,,23,0.609,23,0.957,131,1.0,29,0.552,
84K730_White,84K730,White,,,2,,2,,,,,,
84K733_Asian,84K733,Asian,,,5,,5,,12,,,,
84K733_Black,84K733,Black,,,8,,8,,18,0.611,10,,
84K733_Hispanic or Latinx,84K733,Hispanic,,,101,0.901,101,0.96,468,0.671,106,0.689,
84K733_White,84K733,White,,,3,,3,,,,2,,
84K738_Asian,84K738,Asian,,,4,,4,,15,0.667,3,,
84K738_Black,84K738,Black,,,62,1.0,62,1.0,213,0.653,83,0.831,
84K738_Hispanic or Latinx,84K738,Hispanic,,,9,,9,,43,0.605,5,,
84K738_White,84K738,White,,,4,,4,,,,,,
84K744_Asian,84K744,Asian,,,7,,7,,23,0.739,7,,
84K744_Black,84K744,Black,,,32,0.875,32,0.969,156,0.494,21,0.762,
84K744_Hispanic or Latinx,84K744,Hispanic,,,26,0.885,26,0.962,131,0.519,26,0.885,
84K744_White,84K744,White,,,18,0.944,18,1.0,,,13,,
84K757_Asian,84K757,Asian,,,,,,,2,,,,
84K757_Black,84K757,Black,,,43,0.977,43,1.0,185,,60,0.817,
84K757_Hispanic or Latinx,84K757,Hispanic,,,18,0.944,18,0.944,72,,15,0.933,
84K757_White,84K757,White,,,,,,,,,,,
84K775_Asian,84K775,Asian,,,,,,,2,,2,,
84K775_Black,84K775,Black,,,82,0.878,82,0.976,501,0.685,98,0.816,
84K775_Hispanic or Latinx,84K775,Hispanic,,,5,,5,,35,0.4,4,,
84K775_White,84K775,White,,,1,,1,,,,1,,
84K782_Asian,84K782,Asian,,,,,,,,,,,
84K782_Black,84K782,Black,,,,,,,37,0.324,,,
84K782_Hispanic or Latinx,84K782,Hispanic,,,,,,,54,0.556,,,
84K782_White,84K782,White,,,,,,,,,,,
84K803_Asian,84K803,Asian,,,1,,1,,2,,1,,
84K803_Black,84K803,Black,,,94,0.798,94,0.851,502,0.159,78,0.526,
84K803_Hispanic or Latinx,84K803,Hispanic,,,18,0.778,18,0.889,127,0.126,27,0.407,
84K803_White,84K803,White,,,1,,1,,,,1,,
84K892_Asian,84K892,Asian,,,,,,,,,,,
84K892_Black,84K892,Black,,,51,0.922,51,0.961,179,0.492,48,0.729,
84K892_Hispanic or Latinx,84K892,Hispanic,,,8,,8,,45,0.489,8,,
84K892_White,84K892,White,,,,,,,,,,,
84K928_Asian,84K928,Asian,,,6,,6,,23,0.957,8,,
84K928_Black,84K928,Black,,,25,0.92,25,1.0,141,0.986,28,0.571,
84K928_Hispanic or Latinx,84K928,Hispanic,,,37,0.973,37,1.0,225,0.969,40,0.8,
84K928_White,84K928,White,,,30,1.0,30,1.0,,,59,0.729,
84M202_Asian,84M202,Asian,,,3,,3,,5,,,,
84M202_Black,84M202,Black,,,20,0.8,20,0.95,64,0.453,1,,
84M202_Hispanic or Latinx,84M202,Hispanic,,,28,0.893,28,0.929,127,0.433,,,
84M202_White,84M202,White,,,1,,1,,,,,,
84M204_Asian,84M204,Asian,,,,,,,,,,,
84M204_Black,84M204,Black,,,20,0.75,20,0.8,139,0.424,27,0.593,
84M204_Hispanic or Latinx,84M204,Hispanic,,,7,,7,,43,0.349,7,,
84M204_White,84M204,White,,,,,,,,,1,,
84M279_Asian,84M279,Asian,,,,,,,,,,,
84M279_Black,84M279,Black,,,34,0.912,34,0.971,127,1.0,17,0.353,
84M279_Hispanic or Latinx,84M279,Hispanic,,,22,0.909,22,0.955,98,0.99,25,0.56,
84M279_White,84M279,White,,,,,,,,,,,
84M284_Asian,84M284,Asian,,,,,,,,,,,
84M284_Black,84M284,Black,,,49,0.98,49,1.0,207,0.797,48,0.938,
84M284_Hispanic or Latinx,84M284,Hispanic,,,8,,8,,44,0.705,4,,
84M284_White,84M284,White,,,1,,1,,,,,,
84M295_Asian,84M295,Asian,,,,,,,,,,,
84M295_Black,84M295,Black,,,,,,,1,,,,
84M295_Hispanic or Latinx,84M295,Hispanic,,,,,,,118,0.703,,,
84M295_White,84M295,White,,,,,,,,,,,
84M341_Asian,84M341,Asian,,,,,,,,,,,
84M341_Black,84M341,Black,,,37,0.946,37,0.973,171,0.725,41,0.854,
84M341_Hispanic or Latinx,84M341,Hispanic,,,3,,3,,27,0.667,8,,
84M341_White,84M341,White,,,,,,,,,2,,
84M350_Asian,84M350,Asian,,,1,,1,,4,,,,
84M350_Black,84M350,Black,,,58,0.828,58,0.914,238,0.664,53,0.679,
84M350_Hispanic or Latinx,84M350,Hispanic,,,27,0.926,27,0.926,122,0.549,24,0.583,
84M350_White,84M350,White,,,3,,3,,,,1,,
84M351_Asian,84M351,Asian,,,2,,2,,,,3,,
84M351_Black,84M351,Black,,,41,0.951,41,1.0,,,157,0.58,
84M351_Hispanic or Latinx,84M351,Hispanic,,,22,0.909,22,1.0,,,67,0.567,
84M351_White,84M351,White,,,5,,5,,,,18,0.611,
84M353_Asian,84M353,Asian,,,1,,1,,2,,2,,
84M353_Black,84M353,Black,,,8,,8,,42,0.929,3,,
84M353_Hispanic or Latinx,84M353,Hispanic,,,86,0.919,86,0.977,367,0.877,84,0.774,
84M353_White,84M353,White,,,,,,,,,,,
84M389_Asian,84M389,Asian,,,,,,,2,,,,
84M389_Black,84M389,Black,,,,,,,108,0.769,,,
84M389_Hispanic or Latinx,84M389,Hispanic,,,,,,,142,0.824,,,
84M389_White,84M389,White,,,,,,,,,,,
84M433_Asian,84M433,Asian,,,,,,,2,,1,,
84M433_Black,84M433,Black,,,44,0.795,44,0.841,180,0.433,46,0.478,
84M433_Hispanic or Latinx,84M433,Hispanic,,,52,0.865,52,0.962,217,0.327,49,0.531,
84M433_White,84M433,White,,,1,,1,,,,3,,
84M478_Asian,84M478,Asian,,,2,,2,,2,,,,
84M478_Black,84M478,Black,,,7,,7,,27,0.741,8,,
84M478_Hispanic or Latinx,84M478,Hispanic,,,113,0.867,113,0.982,483,0.714,107,0.729,
84M478_White,84M478,White,,,,,,,,,2,,
84M481_Asian,84M481,Asian,,,,,,,,,,,
84M481_Black,84M481,Black,,,60,0.667,60,0.85,257,0.486,38,0.711,
84M481_Hispanic or Latinx,84M481,Hispanic,,,12,,12,,109,0.33,24,0.625,
84M481_White,84M481,White,,,,,,,,,,,
84M518_Asian,84M518,Asian,,,1,,1,,5,,1,,
84M518_Black,84M518,Black,,,21,0.714,21,0.952,126,0.286,35,0.429,
84M518_Hispanic or Latinx,84M518,Hispanic,,,41,0.707,41,0.927,307,0.293,60,0.35,
84M518_White,84M518,White,,,,,,,,,2,,
84M522_Asian,84M522,Asian,,,1,,1,,1,,1,,
84M522_Black,84M522,Black,,,49,0.673,49,0.918,133,0.173,55,0.364,
84M522_Hispanic or Latinx,84M522,Hispanic,,,42,0.667,42,0.857,101,0.218,40,0.2,
84M522_White,84M522,White,,,,,,,,,1,,
84M708_Asian,84M708,Asian,,,,,,,1,,1,,
84M708_Black,84M708,Black,,,69,0.725,69,0.884,264,0.322,59,0.576,
84M708_Hispanic or Latinx,84M708,Hispanic,,,30,0.767,30,0.833,133,0.286,33,0.515,
84M708_White,84M708,White,,,1,,1,,,,1,,
84M709_Asian,84M709,Asian,,,,,,,,,,,
84M709_Black,84M709,Black,,,35,0.943,35,1.0,147,0.531,30,0.833,
84M709_Hispanic or Latinx,84M709,Hispanic,,,15,1.0,15,1.0,54,0.574,4,,
84M709_White,84M709,White,,,,,,,,,,,
84Q320_Asian,84Q320,Asian,,,4,,4,,11,,5,,
84Q320_Black,84Q320,Black,,,77,0.974,77,0.987,296,0.639,81,0.667,
84Q320_Hispanic or Latinx,84Q320,Hispanic,,,14,,14,,42,0.571,18,0.444,
84Q320_White,84Q320,White,,,1,,1,,,,,,
84Q340_Asian,84Q340,Asian,,,,,,,1,,,,
84Q340_Black,84Q340,Black,,,44,0.977,44,1.0,228,0.465,38,0.605,
84Q340_Hispanic or Latinx,84Q340,Hispanic,,,11,,11,,66,0.561,6,,
84Q340_White,84Q340,White,,,1,,1,,,,,,
84Q373_Asian,84Q373,Asian,,,,,,,3,,1,,
84Q373_Black,84Q373,Black,,,30,0.867,30,0.9,124,0.565,29,0.586,
84Q373_Hispanic or Latinx,84Q373,Hispanic,,,23,0.957,23,0.957,57,0.474,18,0.722,
84Q373_White,84Q373,White,,,1,,1,,,,1,,
84Q380_Asian,84Q380,Asian,,,,,,,,,,,
84Q380_Black,84Q380,Black,,,,,,,,,,,
84Q380_Hispanic or Latinx,84Q380,Hispanic,,,,,,,,,,,
84Q380_White,84Q380,White,,,,,,,,,,,
84Q414_Asian,84Q414,Asian,,,,,,,18,1.0,,,
84Q414_Black,84Q414,Black,,,,,,,12,,,,
84Q414_Hispanic or Latinx,84Q414,Hispanic,,,,,,,151,1.0,,,
84Q414_White,84Q414,White,,,,,,,,,,,
84Q705_Asian,84Q705,Asian,,,8,,8,,44,0.727,7,,
84Q705_Black,84Q705,Black,,,,,,,1,,1,,
84Q705_Hispanic or Latinx,84Q705,Hispanic,,,47,0.809,47,0.979,212,0.722,43,0.884,
84Q705_White,84Q705,White,,,2,,2,,,,1,,
84R067_Asian,84R067,Asian,,,1,,1,,2,,,,
84R067_Black,84R067,Black,,,30,0.9,30,0.967,86,0.547,17,0.647,
84R067_Hispanic or Latinx,84R067,Hispanic,,,15,1.0,15,1.0,69,0.551,12,,
84R067_White,84R067,White,,,4,,4,,,,8,,
84R070_Asian,84R070,Asian,,,,,,,2,,1,,
84R070_Black,84R070,Black,,,17,0.941,17,1.0,77,0.571,9,,
84R070_Hispanic or Latinx,84R070,Hispanic,,,23,0.957,23,0.957,93,0.559,17,0.647,
84R070_White,84R070,White,,,8,,8,,,,10,,
84R083_Asian,84R083,Asian,,,,,,,1,,,,
84R083_Black,84R083,Black,,,,,,,14,,,,
84R083_Hispanic or Latinx,84R083,Hispanic,,,,,,,30,0.7,,,
84R083_White,84R083,White,,,,,,,,,,,
84X185_Asian,84X185,Asian,,,,,,,4,,1,,
84X185_Black,84X185,Black,,,18,1.0,18,1.0,70,0.771,19,0.895,
84X185_Hispanic or Latinx,84X185,Hispanic,,,39,0.923,39,1.0,160,0.794,28,0.607,
84X185_White,84X185,White,,,,,,,,,,,
84X202_Asian,84X202,Asian,,,3,,3,,6,,,,
84X202_Black,84X202,Black,,,50,1.0,50,1.0,231,0.701,48,0.771,
84X202_Hispanic or Latinx,84X202,Hispanic,,,57,0.965,57,0.982,247,0.64,62,0.742,
84X202_White,84X202,White,,,1,,1,,,,1,,
84X208_Asian,84X208,Asian,,,,,,,1,,,,
84X208_Black,84X208,Black,,,29,0.931,29,0.966,95,0.453,45,0.689,
84X208_Hispanic or Latinx,84X208,Hispanic,,,54,0.852,54,0.963,153,0.32,55,0.564,
84X208_White,84X208,White,,,,,,,,,1,,
84X309_Asian,84X309,Asian,,,,,,,1,,,,
84X309_Black,84X309,Black,,,,,,,13,,,,
84X309_Hispanic or Latinx,84X309,Hispanic,,,1,,1,,87,0.586,,,
84X309_White,84X309,White,,,,,,,,,,,
84X345_Asian,84X345,Asian,,,,,,,,,1,,
84X345_Black,84X345,Black,,,21,0.952,21,1.0,73,0.753,19,0.684,
84X345_Hispanic or Latinx,84X345,Hispanic,,,48,0.938,48,0.979,239,0.615,54,0.667,
84X345_White,84X345,White,,,,,,,,,,,
84X347_Asian,84X347,Asian,,,1,,1,,4,,,,
84X347_Black,84X347,Black,,,7,,7,,52,0.808,10,,
84X347_Hispanic or Latinx,84X347,Hispanic,,,48,0.958,48,1.0,253,0.755,47,0.745,
84X347_White,84X347,White,,,1,,1,,,,2,,
84X380_Asian,84X380,Asian,,,,,,,,,,,
84X380_Black,84X380,Black,,,57,0.93,57,0.982,,,3,,
84X380_Hispanic or Latinx,84X380,Hispanic,,,28,0.857,28,0.929,,,4,,
84X380_White,84X380,White,,,1,,1,,,,2,,
84X387_Asian,84X387,Asian,,,,,,,,,,,
84X387_Black,84X387,Black,,,1,,1,,22,0.636,,,
84X387_Hispanic or Latinx,84X387,Hispanic,,,1,,1,,60,0.7,,,
84X387_White,84X387,White,,,,,,,,,,,
84X393_Asian,84X393,Asian,,,,,,,,,,,
84X393_Black,84X393,Black,,,25,0.96,25,1.0,158,0.791,33,0.879,
84X393_Hispanic or Latinx,84X393,Hispanic,,,58,1.0,58,1.0,257,0.696,48,0.854,
84X393_White,84X393,White,,,,,,,,,,,
84X395_Asian,84X395,Asian,,,3,,3,,5,,,,
84X395_Black,84X395,Black,,,36,0.917,36,1.0,172,0.634,36,0.833,
84X395_Hispanic or Latinx,84X395,Hispanic,,,68,0.971,68,0.985,313,0.534,62,0.645,
84X395_White,84X395,White,,,,,,,,,,,
84X429_Asian,84X429,Asian,,,2,,2,,2,,,,
84X429_Black,84X429,Black,,,17,0.882,17,1.0,46,0.087,15,0.667,
84X429_Hispanic or Latinx,84X429,Hispanic,,,96,0.844,96,0.948,441,0.383,76,0.618,
84X429_White,84X429,White,,,,,,,,,1,,
84X460_Asian,84X460,Asian,,,1,,1,,11,,,,
84X460_Black,84X460,Black,,,15,0.8,15,0.867,140,0.629,,,
84X460_Hispanic or Latinx,84X460,Hispanic,,,53,0.925,53,0.943,607,0.596,2,,
84X460_White,84X460,White,,,,,,,,,,,
84X461_Asian,84X461,Asian,,,,,,,3,,,,
84X461_Black,84X461,Black,,,6,,6,,59,0.407,14,,
84X461_Hispanic or Latinx,84X461,Hispanic,,,39,0.923,39,1.0,234,0.333,35,0.486,
84X461_White,84X461,White,,,2,,2,,,,1,,
84X465_Asian,84X465,Asian,,,,,,,,,,,
84X465_Black,84X465,Black,,,,,,,,,,,
84X465_Hispanic or Latinx,84X465,Hispanic,,,,,,,,,,,
84X465_White,84X465,White,,,,,,,,,,,
84X471_Asian,84X471,Asian,,,,,,,,,,,
84X471_Black,84X471,Black,,,6,,6,,14,,3,,
84X471_Hispanic or Latinx,84X471,Hispanic,,,57,0.947,57,0.982,325,0.606,70,0.857,
84X471_White,84X471,White,,,,,,,,,,,
84X482_Asian,84X482,Asian,,,,,,,1,,,,
84X482_Black,84X482,Black,,,18,0.889,18,1.0,72,0.444,18,0.889,
84X482_Hispanic or Latinx,84X482,Hispanic,,,80,0.875,80,0.913,351,0.365,80,0.788,
84X482_White,84X482,White,,,3,,3,,,,1,,
84X487_Asian,84X487,Asian,,,,,,,,,,,
84X487_Black,84X487,Black,,,,,,,,,,,
84X487_Hispanic or Latinx,84X487,Hispanic,,,,,,,,,,,
84X487_White,84X487,White,,,,,,,,,,,
84X488_Asian,84X488,Asian,,,2,,2,,7,,1,,
84X488_Black,84X488,Black,,,51,0.941,51,0.961,219,0.822,46,0.565,
84X488_Hispanic or Latinx,84X488,Hispanic,,,41,0.732,41,0.878,157,0.669,48,0.521,
84X488_White,84X488,White,,,1,,1,,,,,,
84X539_Asian,84X539,Asian,,,2,,2,,10,,,,
84X539_Black,84X539,Black,,,36,0.917,36,0.944,148,0.696,49,0.755,
84X539_Hispanic or Latinx,84X539,Hispanic,,,68,0.956,68,0.971,261,0.536,69,0.667,
84X539_White,84X539,White,,,3,,3,,,,2,,
84X553_Asian,84X553,Asian,,,,,,,1,,,,
84X553_Black,84X553,Black,,,17,0.941,17,1.0,88,0.455,47,0.702,
84X553_Hispanic or Latinx,84X553,Hispanic,,,77,0.987,77,0.987,251,0.514,74,0.73,
84X553_White,84X553,White,,,1,,1,,,,2,,
84X581_Asian,84X581,Asian,,,1,,1,,2,,2,,
84X581_Black,84X581,Black,,,39,0.692,39,0.897,133,0.248,33,0.545,
84X581_Hispanic or Latinx,84X581,Hispanic,,,51,0.667,51,0.784,213,0.174,49,0.571,
84X581_White,84X581,White,,,1,,1,,,,,,
84X585_Asian,84X585,Asian,,,,,,,,,,,
84X585_Black,84X585,Black,,,43,0.86,43,0.977,133,0.639,46,0.739,
84X585_Hispanic or Latinx,84X585,Hispanic,,,59,0.864,59,0.983,220,0.573,70,0.643,
84X585_White,84X585,White,,,,,,,,,,,
